state,id,title,description,url,applyMethod,company,location,type,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,3889905002,Subgerente de Publicidad,"A cargo de la planificación, implementación y ejecución de la estrategia de branding, incluido el establecimiento de guidelines, visión y propuesta de valor de la marca, a corto y largo plazo.
Custodio de la marca y experto en uso de la imagen para garantizar la integridad de la marca.Identifica necesidades de comunicación, ejecuta proyectos de investigación y analiza data para detectar oportunidades para la imagen de marca.
Encargado de estructurar, proponer e implementar planes estratégicos de comunicación que incrementen el nivel de recordación y consideración de marca, con el objetivo de generar un impacto positivo en ventas y en la percepción de marca en el mercado nacional.
Responsable de presentar e implementar conceptos creativos para las campañas de publicidad y promoción de la marca.
Conocimientos básicos de diseño, investigación de mercado (técnicas y análisis). Conceptos de marketing, publicidad, análisis, comunicación y diseño de planes de mercadotecnia. Management de multiproyectos. Lectura e interpretación del mercado enfocada al negocio, experiencia en interpretación del comportamiento del consumidor, proactividad en búsqueda de nuevas formas y medios de comunicación. Conocimiento de producción audiovisual y plataformas digitales.",https://www.linkedin.com/jobs/view/3889905002/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/3889905002'}","{'id': 2109, 'name': 'Toyota Motor Corporation', 'universalName': 'toyota', 'description': 'Toyota Motor Corporation is a global automotive industry leader manufacturing vehicles in 27 countries or regions and marketing the company’s products in over 170 countries and regions. Founded in 1937 and headquartered in Toyota City, Japan, Toyota Motor Corporation employs nearly 350,000 people globally.', 'logo': 'https://media.licdn.com/dms/image/C510BAQG6BUUPIVuQIQ/company-logo_200_200/0/1631431196156/toyota_logo?e=1723075200&v=beta&t=n1QfbqEZNBTpVlUm9YN7PuDj0TfnBhBntH4bVdezfeI', 'url': 'https://www.linkedin.com/company/toyota', 'followerCount': 2092176, 'staffCount': 27260, 'staffCountRange': {'start': 10001}, 'specialities': ['Automotive'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Aichi Prefecture', 'country': 'JP', 'city': 'Toyota City', 'postalCode': '471-8571', 'line1': '1 Toyota-Cho'}}",Mexico City Metropolitan Area,Full-time,1389,4278,1715380771000,['Marketing'],['MRKT'],[53],['Motor Vehicle Manufacturing'],Associate,1712788771000,1712788771000,"['Branding', 'Digital Marketing', 'Digital Media', 'Google Analytics', 'Marketing Strategy', 'Online Advertising', 'Online Marketing', 'Search Engine Optimization (SEO)', 'Social Media', 'Social Media Marketing']"
not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned
LISTED,3918900037,Hostess / Toyota Santa Clara,"OBJETIVO DEL PUESTO

Recibir y organizar el flujo de clientes que lleguen al piso de ventas del distribuidor, a través de su registro en la tarjeta de cliente y su canalización con un asesor de ventas, para que el cliente tenga una experiencia extraordinaria desde el primer momento que pisa el distribuidor, cumplir con prontitud la atención del cliente; así como darle una recepción bien y a la primera, atender todas las llamadas entrantes y dar servicio al cliente, mantener la sala de ventas en óptimas condiciones

Competencias Laborales

- Orientación al Cliente-Agilidad de aprendizaje-Respeto por la diversidad-Construcción de confianza-Orientación a resultados-Profundo conocimiento del producto.

Funciones / Actividades

1 puntualidad *

2 apegarse al proceso y los lineamientos establecidos en los estándares operativos sobre la recepción de clientes *

3 capturar en el crm del distribuidor toda la información del prospecto, recabada por el asesor de ventas en la “tarjeta del cliente “llevar un archivo de control diario y kpi´s *

4 atender al prospecto a más tardar durante los primeros 3 minutos de su llegada *

5 identificar a los clientes que tienen cita y dirigirlos con el asesor asignado; y notificar al gerente de ventas acerca de la presencia del cliente en el piso de ventas *

6 hacer sentir al cliente en un ambiente cómodo desde que entra al piso de ventas, siempre mostrando una actitud profesional *

7 direccionar al prospecto y presentarlo con el asesor de ventas en turno *

8 persuadir al cliente de que acceda a la valuación de su vehículo actual y, en caso afirmativo, informar al valuador para proceder. de lo contrario, debe transferir al cliente con el asesor de ventas valuaciones (seminuevos) *

9 capturar clientes en base de datos sicop M *

10 atender llamadas de clientes *

11 verificar que las unidades de sala se encuentres limpias, con gasolina y batería *

12 ofrecer y preparar pruebas demos, *

17 tener llaves completas de sala de ventas así como demos y placas *

19 CUMPLIMIENTO DE CURSOS Y CAPACITACIÓN DE LA MARCA *

Apoyo a diferente actividades (en otras áreas )

Competencias

Creatividad e Iniciativa.

Pasión por el Servicio.

Trabajo en Equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la Presión de Trabajo.

Profesionalismo.

Excelente Presentación e Imagen.

Horario

Lunes a Viernes 10:00 – 20:00

Sábado 9:00 -18:00

Domingo: 10:00 – 18:00",https://www.linkedin.com/jobs/view/3918900037/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/6597722?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1723075200&v=beta&t=KUVk3C9ai5CpUI8AzMXyE8W5YYxYMkgTYSjPUl-k1FI', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4708, 'staffCount': 252, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Tlalnepantla de Baz, México, Mexico",Full-time,not mentioned,36,1717688840000,"['Management', 'Manufacturing']","['MGMT', 'MNFC']",[75],['Government Administration'],not mentioned,1715096840000,1715096840000,"['Communication', 'Food and Beverage Operations', 'Hostessing', 'Interpersonal Skills', 'Phone Etiquette', 'Receptionist Duties', 'Reservations', 'Telephone Reception']"
LISTED,3906284075,HOJALATERO,"En Toyota Angelópolis estamos en busca de talentos como tu, únete al mejor equipo de trabajo a nivel nacional.

Estamos Buscando

 HOJALATERO

Requisitos

De 25 a 45 años

Casado (a)

Con experiencia mínima de 1 años en el desarrollo de la actividad

Con experiencia en lijado, cuadratura, conformado, etc

OFRECEMOS: Salario competitivo + comisiones por trabajos realizados + prestaciones de ley + prestaciones extras por ser parte de grupo excelencia

Habilidades: Conocimiento en el área de hojalatería y pintura",https://www.linkedin.com/jobs/view/3906284075/,"{'companyApplyUrl': 'https://www.unmejorempleo.com.mx/empleo-en_puebla_hojalatero-5578804.html', 'easyApplyUrl': ''}","{'name': 'Toyota Angelópolis', 'staffCountRange': {}, 'headquarter': {}}","Puebla, Puebla, Mexico",Full-time,1,26,1716170992000,['Other'],['OTHR'],[133],['Wholesale'],not mentioned,1713578992000,1713578992000,not mentioned
LISTED,3906284080,ASESOR DE VENTAS SEMINUEVOS,"En Toyota valoramos tu experiencia, ¿cuentas con experiencia reciente como vendedor?

Acércate a nosotros, tenemos una Oferta comercial exclusiva para ti:

Ofrecemos: Salario Garantía+ Seguro de Vida + Comisiones no topadas + Beneficios extras por ser parte de Grupo Excelencia

Requisitos

Escolaridad: Mínimo Bachillerato

Edad: 25 a 45 años

Saber conducir (indispensable)

Habilidades: Facilidad de palabra, trato al cliente, logro de objetivos

Experiencia en ventas (NO ramo automotriz)

Actividades: Generar prospectos y adquirir nuevos clientes, cierre de ventas.",https://www.linkedin.com/jobs/view/3906284080/,"{'companyApplyUrl': 'https://www.unmejorempleo.com.mx/empleo-en_puebla_asesor_de_ventas_seminuevos-5578797.html', 'easyApplyUrl': ''}","{'name': 'Toyota Angelópolis', 'staffCountRange': {}, 'headquarter': {}}","Puebla, Puebla, Mexico",Full-time,4,49,1716170993000,"['Sales', 'Business Development']","['SALE', 'BD']",[133],['Wholesale'],Mid-Senior level,1713578995000,1713578995000,not mentioned
LISTED,3878028505,Asesor de ventas Automotriz Toyota,"Sobre la empresa

Somos un grupo solido a nivel nacional, con mas de 70 años de experiencia, dedicado a la comercialización de vehículos, refacciones y mantenimiento automotriz; nuevo objetivo principal es superar las expectativas y necesidades de nuestros clientes, estamos en búsqueda de tu talento.

Responsabilidades

Servicio al cliente Cierre de VentasExpedientes administrativos

Competencias

Habilidades de comunicaciónApega a procesosIniciativa

2023-03-15T15:50:56.539282 https://vincu.com/mx/ofertas/hermosillo/58037-grupo-solana-asesor-de-ventas-automotriz-toyota/?utm_source=linkedin=agregadores=linkedin de $ 20,000 a $ 30,000",https://www.linkedin.com/jobs/view/3878028505/,"{'companyApplyUrl': 'https://vincu.com/mx/ofertas/hermosillo/58037-grupo-solana-asesor-de-ventas-automotriz-toyota/?utm_source=linkedin=agregadores=linkedin', 'easyApplyUrl': ''}","{'id': 3776752, 'name': 'Grupo Solana ', 'universalName': 'grupo-solana-automotriz', 'description': 'Somos un Grupo dedicado a la comercialización de Vehículos, refacciones y mantenimiento Automotriz, cuyo objetivo es superar las expectativas y necesidades de nuestros Clientes, Capital Humano, Accionistas y Proveedores; generando valor económico agregado, promoviendo el desarrollo del personal y la mejora continua', 'logo': 'https://media.licdn.com/dms/image/C560BAQH6IXg0OfC7Ig/company-logo_200_200/0/1671046821200/grupo_solana_automotriz_logo?e=1723075200&v=beta&t=M8Rz8giO6U6qkZr5IJaRHG-fiGdvi9pzKB6dhlFIjKE', 'url': 'https://www.linkedin.com/company/grupo-solana-automotriz', 'followerCount': 2923, 'staffCount': 241, 'staffCountRange': {'start': 1001, 'end': 5000}, 'specialities': ['Distribuidor Automotriz', 'Servicio Automotriz'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Jalisco', 'country': 'MX', 'city': 'Guadalajara', 'postalCode': '45200', 'line2': 'Guadalajara Jalisco', 'line1': 'Guadalajara Jalisco'}}","Hermosillo, Sonora, Mexico",Full-time,19,196,1717852636000,"['Sales', 'Business Development']","['SALE', 'BD']",[3198],['Automotive'],Mid-Senior level,1711816459000,1711816459000,"['Client Relations', 'Communication', 'Customer Follow-Up', 'Customer Relationship Management (CRM)', 'Deal Closure', 'English', 'Problem Solving', 'Research Skills', 'Sales', 'Team Management']"
LISTED,3906861570,Especialista de Desarrollo de Distribuidores,"REQUISITOS:
Amplio conocimiento del mercado automotriz.Al menos 2 años de experiencia en análisis de información financiera.Trato con distribuidores.Inglés Avanzado.Excelente manejo de Office.Alta disponibilidad para viajar.Conocimiento en estados financieros, evaluación de proyectos, evaluación de KPIs de desempeño. 
PERFIL
Licenciatura en áreas administrativas/ financieras.Orientado a resultados, liderazgo, resolución de problemas.Trabajo en equipo.Capacidad de análisis cuantitativo y cualitativo.Trabajo bajo presión.Habilidad de negociación.Interés en desarrollo en áreas comerciales.Autogestión de tiempo y actividades.Comunicación efectiva y habilidades de gestión interpersonal.
FUNCIONES
Gestión y administración de KPIs de desempeño de la red de distribuidores (Dealer Scorecard).Actualización anual de KPIs de desempeño.Evaluación financiera de nuevos proyectos de inversión en la red de distribuidores.Gestión mensual de entrega y análisis de los DFS (Dealer Financial Statement) de la red de distribuidores.Supervisión de la salud financiera de la red de distribuidores.Diseño y seguimiento al plan de capacitación anual de la red de distribuidores en temas contables.Elaboración de reportes ejecutivos de la red de distribuidores (reporte integral de representación de mercado)Seguimiento al uso del presupuesto del área",https://www.linkedin.com/jobs/view/3906861570/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/3906861570'}","{'id': 8964677, 'name': 'Toyota de México', 'universalName': 'toyota-de-mexico', 'description': 'Nuestra mayor preocupación es la seguridad y confianza de nuestros clientes.', 'logo': 'https://media.licdn.com/dms/image/D560BAQGZaW4GaBNFJQ/company-logo_200_200/0/1684971645286/toyota_motor_sales_de_mexico_logo?e=1723075200&v=beta&t=VnVZ6_T8JiMY901uH4U8_GTjW1k_xhB8BQx9tk-YjGA', 'url': 'https://www.linkedin.com/company/toyota-de-mexico', 'followerCount': 154785, 'staffCount': 815, 'staffCountRange': {'start': 201, 'end': 500}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Mexico, D.F.', 'country': 'MX', 'city': 'Cuajimpala de Morelos', 'postalCode': '05120', 'line1': 'Paseo de Tamarindos No. 400-B, Piso 5 Col. Bosques de las Lomas'}}","Mexico City, Mexico",Full-time,213,1878,1716667111000,"['Business Development', 'Finance', 'Strategy/Planning']","['BD', 'FIN', 'STRA']",[116],"['Transportation, Logistics, Supply Chain and Storage']",Mid-Senior level,1714075111000,1714075111000,"['Communication', 'Key Performance Indicators']"
LISTED,3920376046,Auxiliar Contable / Toyota Coacalco,"Agencia Automotriz Coacalco Solicita: Auxiliar Contable

Misión

Concentrar y registrar las diversas operaciones de ingresos y egresos en el sistema de contabilidad y de acuerdo a las políticas y procedimientos establecidas por el Corporativo, con el propósito de preparar información de los resultados financieros de la agencia.

Requerimientos

Escolaridad: Bachillerato o equivalente concluido.

Experiencia mínima de 3 años (preferente).

Conocimientos

 Contabilidad. Manejo de Programas Contables.

Responsabilidades Generales

- Recopilar información contable y financiera de las diversas áreas de la agencia, con el fin de asegurar que hayan sido aplicadas correctamente en el sistema- Elaborar pólizas, reportes y estados financieros mensuales, con el fin de presentar los resultados a sus superiores- Calcular las obligaciones fiscales de la empresa (ISR, IVA, IMPAC, ISAN, tenencias, etc.) con el fin de cumplir oportunamente con los pagos correspondientes- Reportar al Contador General y dar seguimiento y atención a los requerimientos fiscales (declaraciones, por ejemplo), con el fin de cumplir y darle la solución correspondiente- Realizar conciliaciones bancarias de partidas no correspondidas, para identificar depósitos sin aplicar y/o las partidas del banco pendientes en contabilidad- Coordinar con caja la revisión y pago de facturas de proveedores en las fechas y horarios establecidos, a fin de asegurar que los documentos que se reciben cumplan con los lineamientos establecidos para programación de pago- Responsable de realizar inventarios de manera selectiva y de forma periódica en las gerencias de servicio, ventas y refacciones, para cumplir con las disposiciones oficiales.

Competencias

Creatividad e Iniciativa.

Pasión por el Servicio.

Trabajo en Equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la Presión de Trabajo.

Profesionalismo.

Ofrecemos

Sueldo base + prestaciones de ley + fondo de ahorro.

Lugar y Horario De Trabajo

Zona Coacalco.

Lun. - Vie. 9:00 a 19:00. Sab. 9:00 a 14:00.",https://www.linkedin.com/jobs/view/3920376046/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/6617578?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1723075200&v=beta&t=KUVk3C9ai5CpUI8AzMXyE8W5YYxYMkgTYSjPUl-k1FI', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4708, 'staffCount': 252, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Coacalco de Berriozábal, México, Mexico",Full-time,1,19,1717861633000,"['Accounting/Auditing', 'Finance']","['ACCT', 'FIN']",[25],['Manufacturing'],Entry level,1715269634000,1715269634000,"['Bank Reconciliation', 'Accounts Payable & Receivable', 'Declarations', 'Bill Payment', 'Finance', 'Financial Results', 'Financial Statements', 'Accounting Software', 'Policies & Procedures', 'Depositions']"
LISTED,3856437808,Preparador de Seminuevos / Toyota Santa Clara,"PREPARADOR DE SEMINUEVOS / TOYOTA SANTA CLARA

Misión:

Efectuar el detallado de las unidades para su entrega al cliente, siguiendo el proceso de la marca y concesionaria, con la impecable limpieza y presentación de los automóviles

Requerimientos:

Edad: 18 a 50 años.

Genero: Indistinto

Escolaridad: Mínimo secundaria concluida.

Experiencia mínima de 2 años en el área mecánica (preferente).

Conocimientos:

 Manejo. Aplicación de productos químicos.

Responsabilidades Generales:

- Realizar las acciones necesarias (lavado, encerado, pulido, aplicación de brillo a las partes que lo requieran), para garantizar la limpieza interior y exterior de las unidades, al ingreso de la concesionaria, para su entrega respectiva.- Poner gasolina a las unidades usadas de acuerdo a los requerimientos del Área de Ventas, así como colocar el porta placas y calcomanías a las unidades para su entrega.- Efectuar la limpieza de unidades en sala de exhibición de Nuevos.- Mantener el equipo y herramienta de trabajo en perfecto estado de funcionamiento para evitar errores en el detallado de la unidad usada- Mantener su área de trabajo limpia y ordenada, observando en ella las normas de seguridad.

¿Cuáles serán tus funciones?

 Recibir los vehículos para su preparación. Limpiar los automóviles detalladamente (vestiduras, tablero, paneles de puertas) Pulir los últimos detalles del automóvil para su entrega posterior. Verificar que todas las unidades del inventario se encuentren en perfecto estado y con preciador. Exhibir las unidades terminadas Colocar vehículos en salas de entregaMantener los vehículos con gasolina

Habilidades:

Buena comunicación

Proactividad

Trabajo en equipo

Enfoque de resultados

Concentración

Conocimientos:

Estética automotriz

Manejo de herramientas

Manejo de automóvil estándar y automático (licencia vigente)

Competencias:

Creatividad e Iniciativa.

Pasión por el servicio.

Trabajo en equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la presión de trabajo.

Profesionalismo.

Ofrecemos:

Sueldo base.

Prestaciones de Ley.

Lugar y Horario De Trabajo:

Zona Ecatepec

Lun. - Vie. 9:00 a 19:00. Sab. 9:00 a 14:00.",https://www.linkedin.com/jobs/view/3856437808/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/5502178?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1723075200&v=beta&t=KUVk3C9ai5CpUI8AzMXyE8W5YYxYMkgTYSjPUl-k1FI', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4708, 'staffCount': 252, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Ecatepec de Morelos, México, Mexico",Full-time,not mentioned,129,1717818333000,"['Design', 'Art/Creative', 'Information Technology']","['DSGN', 'ART', 'IT']",[133],['Wholesale'],Mid-Senior level,1710477204000,1710477204000,"['Automotive', 'Client Delivery', 'Commodity Chemicals', 'Communication', 'Continuous Improvement', 'Creativity and Innovation', 'Gloss', 'Presentations', 'Safety Regulations', 'Washing']"
LISTED,3918548143,Auditor de Grupo ( Agencias Toyota- Subaru),"Realiza auditorias operativas, administrativas y financieras a todas las áreas, verificando que la administración de los recursos de la compañía se realice de acuerdo a políticas y procedimientos establecidos por la Dirección General. Evalúa y examina el control interno aplicado para detectar áreas de oportunidad; propone las acciones correctivas pertinentes para la prevención y detección de fraudes, salvaguardando del patrimonio e intereses de la compañía. 
Responsabilidades• Realiza revisiones especializadas solicitadas por la Dirección General, con el fin de emitir un informe de auditoría, para identificar ineficiencias operativas y administrativas, riesgos potenciales, faltas de honestidad e ilícitos. • Dar seguimiento a los compromisos que adquiere el departamento auditado para realizar una comprobación de los avances realizados. • Revisar el presupuesto de gastos contra los gastos reales ejercidos, para tener el control de lo presupuestado, cuestionado y documentado posibles desviaciones. • Participar en los eventos de realización de desechos de producto en mal estado y obsoleto, destrucción de documentación . • Participar en las licitaciones para proyectos de inversión o compras recurrentes, con el objetivo de que se realicen de acuerdo a políticas y procedimientos establecidos por la Dirección. • Fungir como perito contable ante las autoridades, en los procesos penales de la realización de auditorías internas. • Realizar la reprogramación mensual de actividades y dar prioridad a los departamentos que lo soliciten y continuar con los trabajos programados. • Revisar temas concretos y potenciales sobre los que se puedan tomar acciones preventivas y oportunas para la mejora a la organización.
Requisitos• Licenciatura en Contabilidad • 3 años o más en puesto similar. • Contabilidad general, auditoría interna, análisis y control de presupuestos, administración por objetivos, presentación de estadísticas e información financiera, controles internos, prevención de fraudes y revisión de papeles de trabajo. • Paquetería office, manejo de sistemas, comunicación organizacional, mejora continua, calidad y productividad, estandarización de procesos y satisfacción de clientes. • Competencias: Actitud de Servicio, Seguimiento y Control, Trabajo en Equipo, Organización. • Habilidades: comunicación eficaz, proactividad, iniciativa, administración del tiempo. 
Ofrecemos• Horario: Lunes a Viernes de 9:00 a 6:30 pm y Sábados 9:00 a 1:00 pm• Sueldo Competitivo • Prestaciones superiores a la ley • Subsidio en comedor • Gastos médicos menores gratuito para ti y tu familia • Gastos médicos mayores a precios preferenciales • Convenios con empresas para descuentos en productos y servicios • Capacitación continua • Plan de vida y carrera para crecimiento profesional • Día libre de cumpleaños • Días inhábiles por costumbre",https://www.linkedin.com/jobs/view/3918548143/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/3918548143'}","{'id': 10776810, 'name': 'Toyota Mérida', 'universalName': 'toyota-mérida', 'description': 'Cuando un Toyota se enciende, sabemos que un nuevo viaje juntos comienza y para nosotros, lo importante es que sepas que estamos contigo al 100.\n\nMerida:\nToyota Montejo tel.9300330 \n\nCancún:\nToyota Cancún tel.9981930000', 'logo': 'https://media.licdn.com/dms/image/C4E0BAQFBsWxJ9tSEow/company-logo_200_200/0/1631340466948?e=1723075200&v=beta&t=YAfd-Fn-T5zJxuSumD3CH5IXLQ6n_lFVhUL3hKgcPLA', 'url': 'https://www.linkedin.com/company/toyota-m%C3%A9rida', 'followerCount': 484, 'staffCount': 56, 'staffCountRange': {'start': 51, 'end': 200}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Yucatán', 'country': 'MX', 'city': 'Mérida', 'postalCode': '97119', 'line1': 'Prolongación Paseo Montejo esquina con calle 43, col. Benito Juárez Norte, 97119 Mérida'}}","Mérida, Yucatán, Mexico",Full-time,4,43,1717865384000,not mentioned,"['ACCT', 'FIN']",[53],not mentioned,not mentioned,1715273384000,1715273384000,"['Accounting', 'Auditing', 'Following Up', 'Internal Controls']"
