id,title,url,reference_id,location,company name,type,postDate
3957438628,Hostess / Toyota Coacalco,https://www.linkedin.com/jobs/view/3957438628,w1j4F9XtQvdwmCXdsRqQxg==,"Coacalco de Berriozábal, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,2 days ago
3944592162,Asesor de ventas profesionales,https://www.linkedin.com/jobs/view/3944592162,w1j4F9XtQvdwmCXdsRqQxg==,"San Nicolás de los Garza, Nuevo León, Mexico (On-site)",Toyota CLEBER,Full-time,2 weeks ago
3958570152,Analista de nómina- Temporal,https://www.linkedin.com/jobs/view/3958570152,w1j4F9XtQvdwmCXdsRqQxg==,Mexico City Metropolitan Area (On-site),Toyota de México,Full-time,22 hours ago
3828192459,Asesor de Ventas Toyota Carretera Nacional,https://www.linkedin.com/jobs/view/3828192459,w1j4F9XtQvdwmCXdsRqQxg==,"Monterrey, Nuevo León, Mexico (On-site)",Toyota Monterrey,Full-time,1 week ago
3951893810,Asesor de ventas Automotriz Toyota,https://www.linkedin.com/jobs/view/3951893810,w1j4F9XtQvdwmCXdsRqQxg==,"Hermosillo, Sonora, Mexico (On-site)",Grupo Solana,Full-time,1 week ago
3952375722,Atencion a clientes Toyota Vallejo,https://www.linkedin.com/jobs/view/3952375722,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,1 week ago
3856437808,Preparador de Seminuevos / Toyota Santa Clara,https://www.linkedin.com/jobs/view/3856437808,w1j4F9XtQvdwmCXdsRqQxg==,"Ecatepec de Morelos, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,3 months ago
3932208891,Valuador- Comprador de unidades seminuevas,https://www.linkedin.com/jobs/view/3932208891,w1j4F9XtQvdwmCXdsRqQxg==,"Puebla, Puebla, Mexico (Hybrid)",Toyota los Fuertes,Full-time,1 month ago
3958962786,Lavador Toyota Santa Clara,https://www.linkedin.com/jobs/view/3958962786,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico",Grupo Kasa Automotriz,Full-time,2 hours ago
3932211644,Asesor de Servicio,https://www.linkedin.com/jobs/view/3932211644,w1j4F9XtQvdwmCXdsRqQxg==,"Puebla, Puebla, Mexico (Hybrid)",Toyota los Fuertes,Full-time,1 month ago
3936197379,Asesor de Ventas Móvil,https://www.linkedin.com/jobs/view/3936197379,w1j4F9XtQvdwmCXdsRqQxg==,"Guadalajara, Jalisco, Mexico (On-site)",Grupo OZ Toyota,Full-time,3 weeks ago
3956901429,Lavador de servicio para Toyota Vallejo,https://www.linkedin.com/jobs/view/3956901429,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,3 days ago
3949364628,Lavador de Servicio Toyota Vallejo,https://www.linkedin.com/jobs/view/3949364628,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico",Grupo Kasa Automotriz,Full-time,1 week ago
3958964205,Técnico Mecánico B Toyota Santa Clara,https://www.linkedin.com/jobs/view/3958964205,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,2 hours ago
3950269839,Lavador Toyota Vallejo,https://www.linkedin.com/jobs/view/3950269839,w1j4F9XtQvdwmCXdsRqQxg==,"Tlalnepantla de Baz, México, Mexico",Grupo Kasa Automotriz,Full-time,1 week ago
3943088646,Asesor de ventas (autos nuevos),https://www.linkedin.com/jobs/view/3943088646,w1j4F9XtQvdwmCXdsRqQxg==,"Mérida, Yucatán, Mexico (On-site)",Toyota Altabrisa,Full-time,2 weeks ago
3856439236,Preparador Autos Nuevos / Toyota Santa Clara,https://www.linkedin.com/jobs/view/3856439236,w1j4F9XtQvdwmCXdsRqQxg==,"Ecatepec de Morelos, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,3 months ago
3951321350,Asesor de Ventas de Autos Seminuevos,https://www.linkedin.com/jobs/view/3951321350,w1j4F9XtQvdwmCXdsRqQxg==,"Tijuana, Baja California, Mexico (On-site)",Toyota Tijuana,Full-time,1 week ago
3920376046,Auxiliar Contable / Toyota Coacalco,https://www.linkedin.com/jobs/view/3920376046,w1j4F9XtQvdwmCXdsRqQxg==,"Coacalco de Berriozábal, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,1 month ago
3958962783,Chofer de Servicio Toyota Santa Clara,https://www.linkedin.com/jobs/view/3958962783,w1j4F9XtQvdwmCXdsRqQxg==,"Naucalpan de Juárez, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,2 hours ago
3952376644,Preparador Autos Nuevos Toyota Vallejo,https://www.linkedin.com/jobs/view/3952376644,w1j4F9XtQvdwmCXdsRqQxg==,"Naucalpan de Juárez, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,1 week ago
3894577480,Jefe de HyP / Toyota Santa Clara,https://www.linkedin.com/jobs/view/3894577480,w1j4F9XtQvdwmCXdsRqQxg==,"Ecatepec de Morelos, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,2 months ago
