state,id,title,description,url,applyMethod,company,location,type,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,3957438628,Hostess / Toyota Coacalco,"OBJETIVO DEL PUESTO

Recibir y organizar el flujo de clientes que lleguen al piso de ventas del distribuidor, a través de su registro en la tarjeta de cliente y su canalización con un asesor de ventas, para que el cliente tenga una experiencia extraordinaria desde el primer momento que pisa el distribuidor, cumplir con prontitud la atención del cliente; así como darle una recepción bien y a la primera, atender todas las llamadas entrantes y dar servicio al cliente, mantener la sala de ventas en óptimas condiciones

Competencias Laborales

- Orientación al Cliente-Agilidad de aprendizaje-Respeto por la diversidad-Construcción de confianza-Orientación a resultados-Profundo conocimiento del producto.

FUNCIONES / ACTIVIDADES:1 puntualidad *

2 apegarse al proceso y los lineamientos establecidos en los estándares operativos sobre la recepción de clientes *

3 capturar en el crm del distribuidor toda la información del prospecto, recabada por el asesor de ventas en la “tarjeta del cliente “llevar un archivo de control diario y kpi´s *

4 atender al prospecto a más tardar durante los primeros 3 minutos de su llegada *

5 identificar a los clientes que tienen cita y dirigirlos con el asesor asignado; y notificar al gerente de ventas acerca de la presencia del cliente en el piso de ventas *

6 hacer sentir al cliente en un ambiente cómodo desde que entra al piso de ventas, siempre mostrando una actitud profesional *

7 direccionar al prospecto y presentarlo con el asesor de ventas en turno *

8 persuadir al cliente de que acceda a la valuación de su vehículo actual y, en caso afirmativo, informar al valuador para proceder. de lo contrario, debe transferir al cliente con el asesor de ventas valuaciones (seminuevos) *

9 capturar clientes en base de datos sicop M *

10 atender llamadas de clientes *

11 verificar que las unidades de sala se encuentres limpias, con gasolina y batería *

12 ofrecer y preparar pruebas demos, *

17 tener llaves completas de sala de ventas así como demos y placas *

19 CUMPLIMIENTO DE CURSOS Y CAPACITACIÓN DE LA MARCA *Apoyo a diferente actividades (en otras áreas )

Competencias

Creatividad e Iniciativa.

Pasión por el Servicio.

Trabajo en Equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la Presión de Trabajo.

Profesionalismo.

Excelente Presentación e Imagen.Horario

Lunes a Viernes 10:00 – 20:00

Sábado 9:00 -18:00

Domingo: 10:00 – 18:00",https://www.linkedin.com/jobs/view/3957438628/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/6924149?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1727308800&v=beta&t=p1jHNVz0SKYiPQsTkLqPbx9XWqWhDVgXHCzPiMG391w', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4844, 'staffCount': 260, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Coacalco de Berriozábal, México, Mexico",Full-time,not mentioned,44,1721749751000,"['Management', 'Manufacturing']","['MGMT', 'MNFC']",[75],['Government Administration'],not mentioned,1719157752000,1719157752000,"['Key Performance Indicators', 'Hostessing', 'Hospitality Industry', 'Receptionist Duties', 'Reservations', 'Telephone Reception', 'Phone Etiquette', 'Food and Beverage Operations', 'Interpersonal Skills', 'Communication']"
LISTED,3944592162,Asesor de ventas profesionales,Asesor de ventasRequisitosCarrera terminadaExperiencia en ventasPasión por los autos OfrecemosSueldo base + comisionesPrestaciones de ley y adicionales¡Trabaja con nosotros!,https://www.linkedin.com/jobs/view/3944592162/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/3944592162'}","{'id': 52763359, 'name': 'Toyota CLEBER', 'universalName': 'toyota-cleber', 'description': 'Toyota CLEBER es una empresa 100% regiomontana, fundada por CLEBER y Toyota Tsusho America Inc, fusionando dos grandes culturas: Japón y México.\n\nConsolidados como punto de referencia en Servicio, promoviendo la innovación y la pasión a través de resultados sobresalientes para lograr la satisfacción y el bienestar de nuestros clientes, colaboradores y accionistas.', 'logo': 'https://media.licdn.com/dms/image/D560BAQFD5Xfg7fWDIw/company-logo_200_200/0/1700862240527/toyota_cleber_logo?e=1727308800&v=beta&t=FEvY5or8ghJUuthU8vrI0UifreCNwCLLYGyaxRlYqxg', 'url': 'https://www.linkedin.com/company/toyota-cleber', 'followerCount': 901, 'staffCount': 153, 'staffCountRange': {'start': 501, 'end': 1000}, 'specialities': ['Autos', 'Servicio al cliente', 'híbrido'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Nuevo León', 'country': 'MX', 'city': 'Monterrey', 'postalCode': '64640', 'line1': 'Pablo A. González Garza #408, Col. San Jerónimo'}}","San Nicolás de los Garza, Nuevo León, Mexico",Full-time,23,215,1720293473000,not mentioned,"['SALE', 'BD']",[1292],not mentioned,not mentioned,1717701473000,1717701473000,"['Coaching', 'Communication', 'Consultative Selling', 'Team Leadership']"
LISTED,3958570152,Analista de nómina- Temporal,"**Contratación temporal para cubrir incapacidad**
Llevar a cabo los procesos de nómina, control de incidencias, respaldo de información, preparación de pagos IMSS e INFONAVIT, papeles de trabajo soporte:
Nómina:-Control y soporte de Incidencias cargadas al sistema-Control de créditos otorgados la personal-Revisión de nómina, impuestos, retenciones, percepciones y provisiones.-Preparación de papeles de trabajo soporte-Cálculo y revisión de finiquitos-Atención a auditorías en materia de nóminas-Revisión de timbrado-Revisión de pólizas contables de nómina
IMSS e INFONAVIT-Procesamiento de pagos mensuales y bimestrales, confrontas vs emisión-Cálculo de variables bimestrales a reportar en el IMSS-Revisión de siniestralidad y presentación de prima de Riesgo-Control de nuevos Créditos INFONAVIT
Impuestos Locales-Cálculo y presentación de Impuestos locales
Conocimientos básicos y técnicos indispensables:-Tener conocimiento actualizado en nóminas, SUA e IDSE.- Indispensable uso de Excel intermedio-avanzado.-Manejo de HeadCount de al menos 100 empleados-Inglés- Intermedio / Avanzado
Nivel académico requerido:-Licenciatura en Contaduría o equivalente.",https://www.linkedin.com/jobs/view/3958570152/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/3958570152'}","{'id': 8964677, 'name': 'Toyota de México', 'universalName': 'toyota-de-mexico', 'description': 'Nuestra mayor preocupación es la seguridad y confianza de nuestros clientes.', 'logo': 'https://media.licdn.com/dms/image/D560BAQGZaW4GaBNFJQ/company-logo_200_200/0/1684971645286/toyota_motor_sales_de_mexico_logo?e=1727308800&v=beta&t=7vehkhHKy1usEFuCX_7c6tHEcHXdVl-27uTnZ1A5yP4', 'url': 'https://www.linkedin.com/company/toyota-de-mexico', 'followerCount': 163347, 'staffCount': 835, 'staffCountRange': {'start': 201, 'end': 500}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Mexico, D.F.', 'country': 'MX', 'city': 'Cuajimpala de Morelos', 'postalCode': '05120', 'line1': 'Paseo de Tamarindos No. 400-B, Piso 5 Col. Bosques de las Lomas'}}",Mexico City Metropolitan Area,Full-time,27,239,1721852660000,"['Human Resources', 'Accounting/Auditing', 'Analyst']","['HR', 'ACCT', 'ANLS']",[53],['Motor Vehicle Manufacturing'],Associate,1719260660000,1719260660000,"['ADP Payroll', 'Analytical Skills', 'Human Resources (HR)', 'IMSS', 'Microsoft Excel', 'Payroll', 'Payroll Processing', 'Payroll Services', 'Teamwork', 'Workday']"
LISTED,3828192459,Asesor de Ventas Toyota Carretera Nacional,"
United Auto es una empresa líder en el sector automotriz en México, con varias agencias estratégicamente ubicadas en todo el país. Como pioneros en traer la marca Toyota a México, nos enorgullece ofrecer un servicio excepcional y una experiencia de compra de vehículos inigualable.
Nuestra misión ""Pasión por destacar"" refleja nuestro alto compromiso tanto con nuestros clientes externos como internos. Nos esforzamos cada día por ser la mejor concesionaria automotriz, ofreciendo no solo una amplia gama de autos Toyota, sino también un servicio de mantenimiento y atención al cliente de primer nivel. Nos apasiona brindar soluciones que superen las expectativas de nuestros clientes, y mantener un entorno de trabajo donde nuestros colaboradores puedan desarrollarse y alcanzar su máximo potencial.
PERFIL DEL PUESTO
Requisitos:Experiencia como vendedor/a dentro del sector automotrizCarrera trunca o terminadaExcelentes habilidades de comunicación oralOrganizado/a
Actividades:Venta de unidades nuevas y seminuevasManejo de cartera de clientesProspección de clientesSeguimientoAtención a clientesAsesorar al cliente
Ofrecemos:Sueldo base + excelente esquema de comisiones Prestaciones de leyBeneficios para colaboradoresDescuento para colaboradoresOportunidad de crecimientoServicio psicológico gratuito para colaboradores y familiares
Si cumples con el perfil, postulaste por este medio.




",https://www.linkedin.com/jobs/view/3828192459/,"{'companyApplyUrl': '', 'easyApplyUrl': ''}","{'id': 1268400, 'name': 'Toyota Monterrey', 'universalName': 'toyota-monterrey', 'description': 'Agencia Automotriz lider a nivel nacional en marca Toyota.  Venta de Autos Nuevos, Comonuevos y Seminuevos, Taller de Servicio de Mantenimiento para Unidades Toyota.\r\nToma de unidades a cuenta para adquisición de vehiculos nuevos\r\nVenta de Seguros, Protecciones Extendidas, Accesorios y prepagos de mantenimiento', 'logo': 'https://media.licdn.com/dms/image/C560BAQG4W0JnfSKKVA/company-logo_200_200/0/1631335405991?e=1727308800&v=beta&t=MeOGwUwUEZmh7ETdvUaCR6BYRz156fajytwUzJGFC9Y', 'url': 'https://www.linkedin.com/company/toyota-monterrey', 'followerCount': 591, 'staffCount': 57, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['Venta de Autos Nuevos y Comonuevos certificados', 'Servicio de Mantenimiento Autos Toyota'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'country': 'AF', 'city': 'San Pedro Garza García', 'postalCode': '66269', 'line2': 'Col Valle Oriente', 'line1': 'Ave Lazaro Cárdenas 2272 Ote'}}","Monterrey, Nuevo León, Mexico",Full-time,6,83,1720807742000,not mentioned,"['SALE', 'BD']",[3198],not mentioned,not mentioned,1718215742000,1718215742000,"['Client Relations', 'Commerce', 'Team Spirit', 'Teamwork', 'Customer Service', 'Customer Satisfaction', 'Sales Operations', 'Sales and Marketing', 'Problem Solving']"
LISTED,3951893810,Asesor de ventas Automotriz Toyota,"Sobre la empresa

Somos un grupo solido a nivel nacional, con mas de 70 años de experiencia, dedicado a la comercialización de vehículos, refacciones y mantenimiento automotriz; nuevo objetivo principal es superar las expectativas y necesidades de nuestros clientes, estamos en búsqueda de tu talento.

Responsabilidades

Servicio al cliente Cierre de VentasExpedientes administrativos

Competencias

Habilidades de comunicaciónApega a procesosIniciativa

2023-03-15T15:50:56.539282 https://vincu.com/mx/ofertas/hermosillo/58037-grupo-solana-asesor-de-ventas-automotriz-toyota/?utm_source=linkedin=agregadores=linkedin de $ 20,000 a $ 30,000",https://www.linkedin.com/jobs/view/3951893810/,"{'companyApplyUrl': 'https://vincu.com/mx/ofertas/hermosillo/58037-grupo-solana-asesor-de-ventas-automotriz-toyota/?utm_source=linkedin=agregadores=linkedin', 'easyApplyUrl': ''}","{'id': 3776752, 'name': 'Grupo Solana ', 'universalName': 'grupo-solana-automotriz', 'description': 'Somos un Grupo dedicado a la comercialización de Vehículos, refacciones y mantenimiento Automotriz, cuyo objetivo es superar las expectativas y necesidades de nuestros Clientes, Capital Humano, Accionistas y Proveedores; generando valor económico agregado, promoviendo el desarrollo del personal y la mejora continua', 'logo': 'https://media.licdn.com/dms/image/C560BAQH6IXg0OfC7Ig/company-logo_200_200/0/1671046821200/grupo_solana_automotriz_logo?e=1727308800&v=beta&t=GgVx6GtJ0zt6VAiKIRy2jsT3VKRfN0uLnCnD0Gwe_0A', 'url': 'https://www.linkedin.com/company/grupo-solana-automotriz', 'followerCount': 2983, 'staffCount': 243, 'staffCountRange': {'start': 1001, 'end': 5000}, 'specialities': ['Distribuidor Automotriz', 'Servicio Automotriz'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Jalisco', 'country': 'MX', 'city': 'Guadalajara', 'postalCode': '45200', 'line2': 'Guadalajara Jalisco', 'line1': 'Guadalajara Jalisco'}}","Hermosillo, Sonora, Mexico",Full-time,not mentioned,82,1721192571000,"['Sales', 'Business Development']","['SALE', 'BD']",[3198],['Automotive'],Mid-Senior level,1718600572000,1718600572000,"['Deal Closure', 'Research Skills', 'Customer Relationship Management (CRM)', 'Client Relations', 'Customer Follow-Up', 'Team Management', 'Sales', 'Problem Solving', 'Communication', 'English']"
LISTED,3952375722,Atencion a clientes Toyota Vallejo,"Grupokasa automotriz solicita tu talento como ATENCION A CLIENTES para nuestra agencia TOYOTA VALLEJO

Requisitos

Mucha tolerancia a la frustraciónExperiencia como Atención al clientes

Actividades

ATENCION A CLIENTES MOLESTOS, INCONFORMES O CON QUEJAS DE TODA LA AGENCIA.

RECIBIR ORDENES, FACTURAS Y PREFECTURAS Y CLASIFICARLASY ORDENARLAS POR MARCA.

ES RESPONSABLE DEL ÓRDEN DEL ARCHIVO DE LAS ÓRDENES DE SERVICIO.

BAJAS DE REPORTE MENSUAL DE RECLAMOS Y ARCHIVO.

Ofrecemos

Sueldo $13,194 mas bono por cumplimiento de objetivos.

Prestaciones de Ley

8% fondo de ahorro

Lunes a viernes de 9am a 7 pm con una hora y media de comida

Sábado 9am a 2pm",https://www.linkedin.com/jobs/view/3952375722/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/6882592?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1727308800&v=beta&t=p1jHNVz0SKYiPQsTkLqPbx9XWqWhDVgXHCzPiMG391w', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4844, 'staffCount': 260, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Tlalnepantla de Baz, México, Mexico",Full-time,not mentioned,62,1721317724000,['Other'],['OTHR'],[75],['Government Administration'],Mid-Senior level,1718725724000,1718725724000,"['Team Leadership', 'Teamwork', 'Negotiation', 'Customer Experience', 'Customer Support', 'Marketing', 'Phone Etiquette', 'Data Entry', 'Communication', 'English']"
LISTED,3856437808,Preparador de Seminuevos / Toyota Santa Clara,"PREPARADOR DE SEMINUEVOS / TOYOTA SANTA CLARA

Misión:

Efectuar el detallado de las unidades para su entrega al cliente, siguiendo el proceso de la marca y concesionaria, con la impecable limpieza y presentación de los automóviles

Requerimientos:

Edad: 18 a 50 años.

Genero: Indistinto

Escolaridad: Mínimo secundaria concluida.

Experiencia mínima de 2 años en el área mecánica (preferente).

Conocimientos:

 Manejo. Aplicación de productos químicos.

Responsabilidades Generales:

- Realizar las acciones necesarias (lavado, encerado, pulido, aplicación de brillo a las partes que lo requieran), para garantizar la limpieza interior y exterior de las unidades, al ingreso de la concesionaria, para su entrega respectiva.- Poner gasolina a las unidades usadas de acuerdo a los requerimientos del Área de Ventas, así como colocar el porta placas y calcomanías a las unidades para su entrega.- Efectuar la limpieza de unidades en sala de exhibición de Nuevos.- Mantener el equipo y herramienta de trabajo en perfecto estado de funcionamiento para evitar errores en el detallado de la unidad usada- Mantener su área de trabajo limpia y ordenada, observando en ella las normas de seguridad.

¿Cuáles serán tus funciones?

 Recibir los vehículos para su preparación. Limpiar los automóviles detalladamente (vestiduras, tablero, paneles de puertas) Pulir los últimos detalles del automóvil para su entrega posterior. Verificar que todas las unidades del inventario se encuentren en perfecto estado y con preciador. Exhibir las unidades terminadas Colocar vehículos en salas de entregaMantener los vehículos con gasolina

Habilidades:

Buena comunicación

Proactividad

Trabajo en equipo

Enfoque de resultados

Concentración

Conocimientos:

Estética automotriz

Manejo de herramientas

Manejo de automóvil estándar y automático (licencia vigente)

Competencias:

Creatividad e Iniciativa.

Pasión por el servicio.

Trabajo en equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la presión de trabajo.

Profesionalismo.

Ofrecemos:

Sueldo base.

Prestaciones de Ley.

Lugar y Horario De Trabajo:

Zona Ecatepec

Lun. - Vie. 9:00 a 19:00. Sab. 9:00 a 14:00.",https://www.linkedin.com/jobs/view/3856437808/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/5502178?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1727308800&v=beta&t=p1jHNVz0SKYiPQsTkLqPbx9XWqWhDVgXHCzPiMG391w', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4844, 'staffCount': 260, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Ecatepec de Morelos, México, Mexico",Full-time,not mentioned,243,1720151138000,"['Design', 'Art/Creative', 'Information Technology']","['DSGN', 'ART', 'IT']",[133],['Wholesale'],Mid-Senior level,1710477204000,1710477204000,"['Automotive', 'Client Delivery', 'Commodity Chemicals', 'Communication', 'Continuous Improvement', 'Creativity and Innovation', 'Gloss', 'Presentations', 'Safety Regulations', 'Washing']"
LISTED,3932208891,Valuador- Comprador de unidades seminuevas,"Toyota Fuertes está en búsqueda de

VALUADOR-COMPRADOR DE SEMINUEVOS

Ofrecemos

 Sueldo mensual $7,500 brutos Pago quincenal Prestaciones de ley y superiores Esquema de comisiones (NO TOPADAS):

1 a 10 tomas $500 por unidad comprada

a partir de 11 en adelante es de $1000 por unidad comprada

 Seguro de vida Descuentos en diversos establecimientos Oportunidades de crecimiento laboral Estabilidad laboral

Requisitos

 Escolaridad mínima preparatoria Experiencia no necesaria, nosotros te capacitamos Conocimiento básico del proceso de compra-venta, mecánica automotriz. Habilidades en comunicación, negociación y persuasión. Capacidad para conducir autos estándar y automático. Contar con licencia de manejo vigente.

Zona de trabajo: Toyota Los Fuertes, sobre diagonal Defensores de la República

Tipo de puesto: Tiempo completo, Por tiempo indeterminado

Sueldo: $7,500.00 - $20,000.00 al mes",https://www.linkedin.com/jobs/view/3932208891/,"{'companyApplyUrl': 'https://www.unmejorempleo.com.mx/empleo-en_puebla_valuador-_comprador_de_unidades_seminuevas-5595015.html', 'easyApplyUrl': ''}","{'name': 'Toyota los Fuertes', 'staffCountRange': {}, 'headquarter': {}}","Puebla, Puebla, Mexico",Full-time,2,47,1721268617000,"['Sales', 'Management']","['SALE', 'MGMT']",[53],['Motor Vehicle Manufacturing'],Mid-Senior level,1716343802000,1716343802000,"['Automotive Repair', 'Communication', 'Licensing', 'Negotiation', 'Persuasion', 'Purchasing Processes']"
LISTED,3958962786,Lavador Toyota Santa Clara,"Grupokasa automotriz busca tu talento como LAVADOR para nuestra agencia Toyota Santa Clara

Actividades

Lavado de autos

Ofrecemos

Sueldo base $7467 más compensación por lavadas

Prestaciones de ley

6% Fondo de ahorro

Lunes a viernes de 9am a 7pm con hora y media de comida

Sábado de de 9am a 2pm

INDISPENSABLE SABER MANEJAR Y CONTAR CON LICENCIA DE MANEJO VIGENTE",https://www.linkedin.com/jobs/view/3958962786/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/6935417?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/0/1631341474237?e=1727308800&v=beta&t=p1jHNVz0SKYiPQsTkLqPbx9XWqWhDVgXHCzPiMG391w', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 4844, 'staffCount': 260, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Tlalnepantla de Baz, México, Mexico",Full-time,not mentioned,not mentioned,1721922440000,['Other'],['OTHR'],[75],['Government Administration'],Mid-Senior level,1719330440000,1719330440000,not mentioned
LISTED,3932211644,Asesor de Servicio,"ASESOR DE SERVICIO

Toyota Dorada está en búsqueda de

ASESOR DE SERVICIO

Ofrecemos

 Sueldo mensual $9,600 brutos Pago quincenal Prestaciones de ley y superiores Esquema de comisiones (NO TOPADAS) Seguro de vida Descuentos en diversos establecimientos Oportunidades de crecimiento laboral Estabilidad laboral

Requisitos

 Escolaridad mínima preparatoria Experiencia no necesaria, nosotros te capacitamos Conocimiento básico del proceso de mecánica automotriz. Habilidades en comunicación, atención al cliente, seguimiento Capacidad para conducir autos estándar y automático. Contar con licencia de manejo vigente.

Zona de trabajo: Zona Plaza Dorada, Puebla

Tipo de puesto: Tiempo completo, Por tiempo indeterminado

Sueldo: $9,600.00 - $15,000.00 al mes",https://www.linkedin.com/jobs/view/3932211644/,"{'companyApplyUrl': 'https://www.unmejorempleo.com.mx/empleo-en_puebla_asesor_de_servicio-5595023.html', 'easyApplyUrl': ''}","{'name': 'Toyota los Fuertes', 'staffCountRange': {}, 'headquarter': {}}","Puebla, Puebla, Mexico",Full-time,11,52,1721268619000,['Other'],['OTHR'],[53],['Motor Vehicle Manufacturing'],Mid-Senior level,1716343793000,1716343793000,"['Automotive', 'Automotive Repair', 'Customer Support', 'Problem Solving']"
