id,title,url,reference_id,location,company name,type,postDate
4019849191,RECEPCIONISTA-VOLKSWAGEN GONZALITOS,https://www.linkedin.com/jobs/view/4019849191,MxpuE72rSL14+2J19YRlGw==,"Monterrey, Nuevo León, Mexico (On-site)",Car One Group,Full-time,1 week ago
4012460164,ASESORES DE VENTAS-VOLKSWAGEN GONZALITOS,https://www.linkedin.com/jobs/view/4012460164,MxpuE72rSL14+2J19YRlGw==,"Monterrey, Nuevo León, Mexico (On-site)",Car One Group,Full-time,2 weeks ago
4011262500,"Vendedor Automotriz Volkswagen Ingresos superiores a $20,000 + seguro social + Infonavit",https://www.linkedin.com/jobs/view/4011262500,MxpuE72rSL14+2J19YRlGw==,"San Pedro Mixtepec, Oaxaca, Mexico (On-site)",Grupo Bonn,Full-time,2 weeks ago
4018842058,Anwendungstechniker (m/w/d) für Volkswagen Original Lack in der Region Bayern,https://www.linkedin.com/jobs/view/4018842058,MxpuE72rSL14+2J19YRlGw==,"Pachuca, Hidalgo, Mexico",Axalta,Full-time,1 week ago
4007874886,User Administration,https://www.linkedin.com/jobs/view/4007874886,MxpuE72rSL14+2J19YRlGw==,"Puebla, Mexico (Hybrid)",Volkswagen Financial Services,Full-time,3 weeks ago
4028808389,Business Broker,https://www.linkedin.com/jobs/view/4028808389,MxpuE72rSL14+2J19YRlGw==,"Mexico City, Mexico (On-site)",Volkswagen Azcapotzalco,Full-time,1 hour ago
3978450703,Salesmanager Volkswagen Bedrijfswagens,https://www.linkedin.com/jobs/view/3978450703,MxpuE72rSL14+2J19YRlGw==,"Volkswagen, Nuevo León, Mexico (On-site)",Century Autogroep,Full-time,2 months ago
4016338705,ASESOR DE HOJALATERIA Y PINTURA-VOLKSWAGEN GONZALITOS,https://www.linkedin.com/jobs/view/4016338705,MxpuE72rSL14+2J19YRlGw==,"Monterrey, Nuevo León, Mexico (On-site)",Car One Group,Full-time,2 weeks ago
3997060604,Ejecutivo de ventas,https://www.linkedin.com/jobs/view/3997060604,MxpuE72rSL14+2J19YRlGw==,"Guanajuato, Guanajuato, Mexico (On-site)",Volkswagen VAQCSA Guanajuato,Full-time,1 week ago
4004370630,Chofer con licencia Federal,https://www.linkedin.com/jobs/view/4004370630,MxpuE72rSL14+2J19YRlGw==,"Zapopan, Jalisco, Mexico (On-site)",Volkswagen MX,Full-time,4 weeks ago
4019652397,Chofer,https://www.linkedin.com/jobs/view/4019652397,MxpuE72rSL14+2J19YRlGw==,"Mérida, Yucatán, Mexico (On-site)",Volkswagen Mérida Norte,Full-time,1 week ago
