state,id,title,description,url,applyMethod,company,location,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,4122482209,Remote Life Insurance Sales Agent - No Experience Necessary,"EXCITING NEWS!Our office is now seeking hardworking individuals who are ready to put in the work to achieve their financial freedom! Whether you are new to the industry or already licensed looking to build your business, this is an opportunity you don't want to miss!

NO PREVIOUS EXPERIENCE NECESSARY. WE WILL TRAIN THE RIGHT PEOPLE! 

Description: We are seeking motivated and driven individuals to join our team. As a remote agent, you will be responsible for assessing client financial needs, educating them on our services and recommending appropriate financial products to help them achieve their financial goals. You will work from home, utilizing online tools and communication platforms to connect with clients and provide exceptional service. This is an excellent opportunity for a self-driven individual with a passion for helping clients achieve financial freedom while protecting their assets.

This opportunity is great for the stay-at-home career seeker or someone wanting to work part-time. Licensure will be required within the first 30 days.All required pre-licensing courses & required state licenses are covered by the company. This is a 1099, not a W2 opportunity.

The desired candidate would possess the following skills:

You're a self-starter capable of thriving on a teamExcellent customer service skillsEntrepreneurial MindsetStrong leadership and decision-making skillsAbility to develop, manage and drive growthAccess to Internet or Wi-Fi connection

Requirements:

Must be 18+ (This is a FEDERAL requirement)Must pass a STATE background check (No Felonies)Self-Disciplined, Self-Accountability,Trustworthy & HonestA certified GO GETTER!

What we provide:

Competitive Compensation ProgramTraining Bonus programState Life Insurance LicenseFederal Securities (Investment) License - SIE, Series 6, 63, 26, & 65Mortgage (Loan Originator) LicensePart-time or Full-time Flex optionsNo Quotas or Caps on CommissionsStock opportunitiesResidual Income Opportunities (11 income streams)

For more information, please visit:OUR PRIMERICA BUSINESS OPPORTUNITY

Powered by JazzHR

ifoCmbGUJM",https://www.linkedin.com/jobs/view/4122482209/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/ifoCmbGUJM/Remote-Life-Insurance-Sales-Agent-No-Experience-Necessary?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4122482209'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,3,54,1739150410000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736558410000,1736558410000,not mentioned
LISTED,4117237101,Remote Life Insurance Agent - Entry Level (No Experience),"EXCITING NEWS!Our offices are expanding and we're looking for individuals who are hardworking and ready to make a difference!Whether you’re an experiencedLife Insurance Agent already and looking for your next opportunity or someone just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life!

In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on the proper products they might need, and create a personalized plan to help them achieve their financial goals. You will be expected to get through the first 30 days, completing training, mentorship, and licensing. We will cover the cost of licensure. At minimum, 12-20 hours per week will be required to complete everything in a timely manner.No prior experience in financial services required.This is a 1099 opportunity, not a W2.

No Experience Necessary This position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit: https://primericabusinessopportunity.com

Powered by JazzHR

qPUx4JZQfN",https://www.linkedin.com/jobs/view/4117237101/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/qPUx4JZQfN/Remote-Life-Insurance-Agent-Entry-Level-No-Experience?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4117237101'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,7,87,1738740000000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736148001000,1736148001000,not mentioned
LISTED,4123738037,Entry Level Life Insurance Agent (Remote),"EXCITING NEWS!Our offices are expanding and we're looking for individuals who are hardworking and ready to make a difference!Whether you’re an experiencedLife Insurance Agent already, and looking for your next opportunity or someone just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life!

No prior experience in financial services required. In-field training is provided!This is a 1099 opportunity, not a W2.

The desired candidate would possess the following skills:

Excellent customer service skillsEntrepreneurial MindsetAbility to develop, manage and drive growthAccess to Internet or Wi-Fi connectionExperience in sales, marketing and business are preferred but not required

Requirements:

Must be 18+ (This is a FEDERAL requirement)Must pass a STATE background check (No Felonies)Self-Disciplined, Self-Accountability,Trustworthy & HonestMust live within the United States

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programState Life Insurance License(required)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedPart-time or Full-time flex options

For more information, please visit:https://primericabusinessopportunity.com

Powered by JazzHR

vGkkEbY1CS",https://www.linkedin.com/jobs/view/4123738037/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/vGkkEbY1CS/Entry-Level-Life-Insurance-Agent-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4123738037'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,4,45,1739324157000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736732158000,1736732158000,not mentioned
LISTED,4117287404,Entry Level Life Agent - No Experience Required (Remote),"EXCITING NEWS!Our offices are expanding all across the United States and we're seeking hardworking individuals who are ready to step outside the box and build a business!We are looking for aLife Insurance Agentto join our team.Whether you’re an experienced insurance agent looking for your next opportunity or are just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life.

No prior experience in financial services required. In-field training is provided, and you can work from home.

During training, you will also be completing the coursework necessary to obtain your state Life License and Investment Licenses (unless you are already licensed). All required pre-licensing courses and required state licenses are covered by the company.This is a 1099 opportunity, not a W2.

The desired candidate would possess the following skills:

You're a self-starter capable of thriving on a teamStrong communication skills, both written and oralExcellent customer service skillsEntrepreneurial MindsetPrior insurance industry experience is not required, but a plusStrong leadership and decision-making skillsAbility to develop, manage and drive growthExperience in sales, marketing and business are preferred but not required

Requirements:

Must be 18+ (This is a FEDERAL requirement)Must pass a STATE background check (No Felonies)Self-Disciplined, Self-Accountability,Trustworthy & HonestMust live within the United States

What we provide:

Competitive Performance-based CompensationZoom Training & Bonus programState Life Insurance License(required)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedPart-time or Full-time Flex optionsNo Quotas

For more information, please visit:https://primericabusinessopportunity.com

Powered by JazzHR

A0gjNKmafw",https://www.linkedin.com/jobs/view/4117287404/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/A0gjNKmafw/Entry-Level-Life-Agent-No-Experience-Required-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4117287404'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,5,109,1738761768000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736169769000,1736169769000,not mentioned
LISTED,4123737231,Life Sales Agent - No Experience Needed (Remote),"EXCITING NEWS!Our offices are expanding and we're seeking hardworking individuals who are ready to step outside the box and build a business!We are looking for aLife Insurance Agentto join our team.Whether you’re an experienced insurance agent looking for your next opportunity or are just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life.

No Experience NecessaryThis position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on the proper products they might need, and create a personalized plan to help them achieve their financial goals. You can also prospect and recruit to build and create a thriving business of your own through the training and referral system that we already have in place!This is a 1099 opportunity, not a W2.

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit: https://primericabusinessopportunity.com

Powered by JazzHR

J6ULD5fH2j",https://www.linkedin.com/jobs/view/4123737231/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/J6ULD5fH2j/Life-Sales-Agent-No-Experience-Needed-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4123737231'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,5,49,1739324157000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736732158000,1736732158000,not mentioned
LISTED,4122481379,Remote Life Insurance Agent - Entry Level (No Experience),"EXCITING NEWS!Our offices are expanding all across the United States! We're seeking hardworkingLife Insurance Agentsto join our team.Whether you’re an experienced insurance agent looking for your next opportunity or are just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life.

No Experience NecessaryThis position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on the proper products they might need, and create a personalized plan to help them achieve their financial goals.This is a 1099 opportunity, not a W2.

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit:https://primericabusinessopportunity.com

Powered by JazzHR

5jsspSwvfL",https://www.linkedin.com/jobs/view/4122481379/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/5jsspSwvfL/Remote-Life-Insurance-Agent-Entry-Level-No-Experience?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4122481379'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,1,35,1739150402000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736558402000,1736558402000,not mentioned
LISTED,4123737233,Remote Entry Level Life Insurance Agent,"EXCITING NEWS! Our offices are expanding, and we are looking for individuals who are hardworking and ready to make an impact in people's lives! This person will actively seek out and engage prospective clients regarding life insurance and/or investments. Whether you're already an experienced LIFE INSURANCE AGENT  or someone just starting out and looking for an opportunity to grow and demonstrate your talents, we have the career move that help change your life!

The ideal candidate must be results-driven, hungry for customer acquisition, and passionate about contributing to growth.In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on proper products they may need, and create a personalized plan to help achieve their financial goals. In this role, someone is also expected to get through their first 30 days, completing training, mentorship, and course licensing. At minimum, 12-20 hours will be required on a weekly basis. This is a 1099 opportunity, not a W2.

No Experience Necessary This position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit: https://primericabusinessopportunity.com

Powered by JazzHR

DcsgRfiGGX",https://www.linkedin.com/jobs/view/4123737233/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/DcsgRfiGGX/Remote-Entry-Level-Life-Insurance-Agent?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4123737233'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,1,25,1739324161000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736732162000,1736732162000,not mentioned
LISTED,4117289230,Entry Level Life Agent - No Experience Necessary (Remote),"EXCITING NEWS! Our offices are expanding, and we are looking for individuals who are hardworking and ready to make an impact in people's lives! This person will actively seek out and engage prospective clients regarding life insurance and/or investments. Whether you're already an experienced LIFE INSURANCE AGENT or someone just starting out and looking for an opportunity to grow and demonstrate your talents, we have the career move that help change your life!

The ideal candidate must be results-driven, hungry for customer acquisition, and passionate about contributing to growth.In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on proper products they may need, and create a personalized plan to help achieve their financial goals. In this role, someone is also expected to get through their first 30 days, completing training, mentorship, and course licensing. At minimum, 12-20 hours will be required on a weekly basis. This is a 1099 opportunity, not a W2.

No Experience Necessary This position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit: https://primericabusinessopportunity.com

Powered by JazzHR

cIzl0n4UrI",https://www.linkedin.com/jobs/view/4117289230/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/cIzl0n4UrI/Entry-Level-Life-Agent-No-Experience-Necessary-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4117289230'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,6,90,1738761764000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736169764000,1736169764000,not mentioned
LISTED,4123733678,Life Insurance Agent - No Experience (Remote),"EXCITING NEWS!Our offices are expanding and we're seeking hardworking individuals who are ready to step outside the box and build a business!We are looking for aLife Insurance Agentto join our team.Whether you’re an experienced insurance agent looking for your next opportunity or are just starting out and looking for an opportunity to demonstrate your talents, we have the career move that can help change your life.

No prior experience in financial services required. In-field training is provided.

During training, you will also be completing the coursework necessary to obtain your state Life License and Investment Licenses (unless you are already licensed). All required pre-licensing courses and required state licenses are covered by the company.This is a 1099 opportunity, not a W2.

The desired candidate would possess the following skills:

Excellent customer service skillsAbility to develop, manage and drive growthAccess to Internet or Wi-Fi connectionExperience in sales, marketing and business are preferred but not required

Requirements:

Must be 18+ (This is a FEDERAL requirement)Must pass a STATE background check (No Felonies)Trustworthy & HonestMust live within the United States

What we provide:

A competitive performance-based compensation packageZoom Training & Bonus programState Life Insurance License(required)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit:https://primericabusinessopportunity.com

Powered by JazzHR

nql6StneuC",https://www.linkedin.com/jobs/view/4123733678/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/nql6StneuC/Life-Insurance-Agent-No-Experience-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4123733678'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,4,53,1739324158000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736732159000,1736732159000,not mentioned
LISTED,4122477763,Entry Level Life Agent - No Experience Required (Remote),"EXCITING NEWS! Our offices are expanding, and we are looking for individuals who are hardworking and ready to make an impact in people's lives! This person will actively seek out and engage prospective clients regarding life insurance and/or investments. Whether you're already an experienced LIFE INSURANCE AGENT  or someone just starting out and looking for an opportunity to grow and demonstrate your talents, we have the career move that help change your life!

The ideal candidate must be results-driven, hungry for customer acquisition, and passionate about contributing to growth.In this role, someone is expected to learn the various financial products we offer, sit with clients to assess their financial needs, educate them on proper products they may need, and create a personalized plan to help achieve their financial goals. In this role, someone is also expected to get through their first 30 days, completing training, mentorship, and course licensing. At minimum, 12-20 hours will be required on a weekly basis. This is a 1099 opportunity, not a W2.

No Experience Necessary This position is currently only available to US citizens who reside in the USAll courses and licenses needed to work with us, are covered by the companyMust pass a background check

What we provide:

A Competitive Performance-based Compensation PackageZoom Training & Bonus programOngoing Support System To Ensure SuccessState Life Insurance License(if not currently licensed)Federal Securities (Investment) License - SIE, Series 6, 63, 26, & 65(optional)Mortgage (Loan Originator) License(optional)E & O Coverage IncludedNo Quotas

For more information, please visit: https://primericabusinessopportunity.com

Powered by JazzHR

Q8lv3Jsju2",https://www.linkedin.com/jobs/view/4122477763/,"{'companyApplyUrl': 'https://castilloninc.applytojob.com/apply/Q8lv3Jsju2/Entry-Level-Life-Agent-No-Experience-Required-Remote?source=LILI&source=LINKEDIN', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4122477763'}","{'id': 91167339, 'name': 'Audi Portales: Primerica Financial Services (Castillon Agency)', 'universalName': 'castillonagency', 'description': 'Our mission is to help families earn more income, become properly protected, debt free and financially independent. We work hard to make sure families are well taken care of and we pride ourselves in the education we provide them. \n\nWe help individuals attain the experience, training and licensure necessary to become a winning force in the financial services industry and we do that by teaching them the client is what matters most, not the bottom line. We do right by our clients, never sacrificing their well-being and financial future. All the while our agents are fulfilling their dreams of becoming financially independent and building great businesses for themselves, that provides financial independence & stability for themselves and their families. ', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFkIru-wvF0Ug/company-logo_200_200/company-logo_200_200/0/1708022989296/castillonagency_logo?e=1744848000&v=beta&t=r7uMlhsHt_x4UwxSPlaC223MNffpV8Tv0UEZijOY9bY', 'url': 'https://www.linkedin.com/company/castillonagency', 'followerCount': 3219, 'staffCount': 4, 'staffCountRange': {'start': 51, 'end': 200}, 'specialities': ['life insurance', 'auto & homeowners insurance'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'texas', 'country': 'US', 'city': 'New Braunfels', 'postalCode': '78130'}}",NAMER,1,34,1739150407000,"['Sales', 'Business Development']","['SALE', 'BD']",[3132],['Internet Publishing'],Entry level,1736558408000,1736558408000,not mentioned
