state,id,title,description,url,applyMethod,company,location,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,4114344318,Auxiliar administrativo garantías Toyota Vallejo,"Grupokasa automotriz busca tu talento como AUXILIAR ADMINISTRATICO/GARANTIAS para nuestra agencia de TOYOTA VALLEJO

Actividades

Verificar que el proceso para reclamo de las solicitudes de garantías sea el adecuado, a fin de agilizar y reducir al mínimo las devoluciones por parte de la Planta.Controlar los pagos en Garantía hechos por Planta y remitirlos a la contabilidad de la concesión mes a mes, para conciliar la cuenta del proveedor.Enviar a Planta las piezas que son reclamadas por garantía.Supervisar que el área de Refacciones elabore las facturas de piezas reclamadas, para envío a Planta.Seguimiento especial a quejas de Clientes que se filtraron a Planta. 9.-Almacenar debidamente las piezas no enviadas a Planta.Auxiliar a la Gerencia de Servicio en los Análisis de Productividad Servicio y Hojalatería y Pintura, de Tiempos de los Mecánicos.

Requisitos

Experiencias: 6 meses como administrativo/ call center

Ofrecemos

Sueldo mensual bruto $9000Prestaciones de leyReparto de utilidadesFondo de ahorro del 8%Lunes a viernes 9am a 7pm con hora y media de comida

Sábado de 9 a 1:30

Si estas interesado postúlate por este medio.",https://www.linkedin.com/jobs/view/4114344318/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/8453246?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Gustavo A. Madero, Mexico City, Mexico",102,658,1738611632000,['Administrative'],['ADM'],[1292],['Retail Motor Vehicles'],Mid-Senior level,1736019633000,1736019633000,not mentioned
LISTED,4114339974,Ventas Digitales Toyota Vallejo,"¿Eres una persona con buen trato con los clientes y te consideras buen negociador?¡Estamos buscando gente con actitud para trabajar en agencia automotriz con comisiones no topadas!

Tenemos Para Ti

 Excelente esquema de comisiones Sueldo base IMSS desde el primer día de contratación Contratación directa por la empresa Oportunidad de crecimiento laboral Excelente ambiente laboral

¿Qué necesitas para que este puesto sea tuyo?

Preparatoria concluida

Experiencia mínima de 1 años en ventas (calle center)

Actividades a Realizar

Impulsar las Ventas de los canales digitales por medio de la generación de citas a los prospectos recibidos.

Generación de citas clientes de internet

Seguimiento diario a llamadas reprogramadas

Preparación de citas para clientes

Reporte de seguimiento de base de clientes

Reporte de seguimiento clientes show

Reporte de seguimiento clientes no show

Relación de citas diarias

Ofrecemos

Sueldo base $8364 brutos mensuales

Comisiones

Seguro desde el primero dia

L - V 9AM A 7PM con hora y media de comida,

S 9am A 1:30 pm",https://www.linkedin.com/jobs/view/4114339974/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/8453190?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Gustavo A. Madero, Mexico City, Mexico",8,102,1738611651000,"['Sales', 'Business Development']","['SALE', 'BD']",[1292],['Retail Motor Vehicles'],Mid-Senior level,1736019652000,1736019652000,not mentioned
LISTED,4114345180,Asesor de ventas/ Garantía extendida Toyota Vallejo,"Grupokasa automotriz busca tu talento como ASESOR DE VENTAS GARANTIA EXTENDIDA para nuestra agencia de TOYOTA VALLEJO

Actividades

PROMOVER ACTIVAMENTE LAS VENTAS DE PROTECCIONES EXTENDIDAS.LLEVAR PARTE ADMINISTRATIVA DE LOS CERTIFICADOS DE LAS PROTECCIONES EXTENDIDAS.TRABAJAR BASES DE DATOS DE ENTRADAS A SERVICIOS PARA REALIZAR LLAMADAS A LOS CLIENTES QUE COMPRARON AUTO NUEVO Y NO SE LES VENDIO LA PROTECCIÓN EXTENDIDA.ACTUALIZAR EN EL SISTEMA LAS VENTAS DE PROTECCIONES EXTENDIDAS.

Requisitos

Experiencias: 1 año el área de ventas

Ofrecemos

Sueldo mensual bruto $8500 mas comisionesPrestaciones de leyReparto de utilidadesFondo de ahorro del 8%Lunes a viernes 9am a 7pm con hora y media de comida

Sábado de 9 a 1:30

Si estas interesado postúlate por este medio.",https://www.linkedin.com/jobs/view/4114345180/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/8453263?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Gustavo A. Madero, Mexico City, Mexico",7,21,1738611632000,"['Sales', 'Business Development']","['SALE', 'BD']",[1292],['Retail Motor Vehicles'],Mid-Senior level,1736019633000,1736019633000,not mentioned
LISTED,4092046455,Gerente de ventas Toyota,"Administrar los recursos materiales y fuerza de ventas de distribuidor a través de la planeación, ejecución y seguimiento de estrategias de comerciales de la marca y propias del distribuidor/gerencia para lograr los objetivos de rentabilidad y ventas establecidos por la planta y distribuidor, así como garantizar un excelente servicio a clientes internos y externos con el fin de incrementar la participación en el mercado, la satisfacción y lealtad de los clientes.

Ofrecemos

 Sueldo base más comisiones de acuerdo a resultados. Prestaciones de ley. Capacitación. Plan de crecimiento laboral.

Requisitos

 Licenciatura terminada. Experiencia mínima de 3 años en puestos similares (indispensable medio Automotriz). Disponibilidad de horario.",https://www.linkedin.com/jobs/view/4092046455/,"{'companyApplyUrl': 'https://grupofame.pandape.computrabajo.com/Detail/8266243?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 105231596, 'name': 'Capital Humano Grupo Fame', 'universalName': 'capital-humano-grupo-fame', 'logo': 'https://media.licdn.com/dms/image/v2/D4E0BAQFO5XBgDOYXTA/company-logo_200_200/company-logo_200_200/0/1727979443446?e=1744848000&v=beta&t=8Z0hC2HGQBlXkOejI3cJd9yIpEj9lqmI5N2SuakG_gU', 'url': 'https://www.linkedin.com/company/capital-humano-grupo-fame', 'followerCount': 308, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Human Resources Services'], 'headquarter': {}}","Morelia, Michoacán, Mexico",85,272,1738482078000,"['Sales', 'Business Development']","['SALE', 'BD']",[137],['Human Resources Services'],Mid-Senior level,1733514135000,1733514135000,not mentioned
LISTED,4047138347,Auxiliar de Refacciones / Toyota Vallejo,"AUXILIAR DE REFACCIONES / TOYOTA VALLEJO

Misión: Ejecutar operativamente los procesos administrativos del área de refacciones relacionados con compras, mantenimiento al registro de inventario, pagos a planta y proveedores, aplicando las normas y lineamientos dados por la Compañía y elaborando la documentación necesaria, logrando resultados oportunos y garantizando la prestación efectiva del servicio

Requerimientos

Sexo: indistinto.

Escolaridad: Bachillerato concluio o equivalente.

Conocimientos

 Conocimientos de Mecánica Automotriz. Conocimientos básicos de PC.

Responsabilidades Generales

- Recibir proveedores de refacciones automotrices.- Mantener un orden adecuado del almacén.- Surtir y cotizar refacciones a técnicos.- Captura y envío de pedido de refacciones de planta.

Responsabilidad Espesificas

1 Procesa las compras de refacciones a planta emitiendo el registro contable y lo canaliza a contabilidad.

2 Carga la orden al sistema

3 Da entrada al almacén de los pedidos de planta

4 Captura los pedidos de los agentes

5 Integra las facturas de intercompañías para el pago a planta.

6 Archiva pedidos, compras y minutas.

7 Genera órdenes de compra a otras Distribuidoras o Proveedores

8 Administración de caja chica y solicitud de reembolso cuando aplica

9 Solicitudes de cheque para pago a proveedores o devoluciones de mostrador

10 Devolución de refacciones de taller al almacén

11 Captura ubicaciones en sistema para el almacén

12 Auxilia al Encargado de almacén en la recepción de los pedidos diarios

13 Elabora solicitudes de traspaso y factura traspasos

14 Limpieza, orden y acomodo del almacén por zonas de acuerdo a lineamientos de GM

15 Colaboración en la recepción del material de proveedor

16 Revisión selección y acomodo en ubicación del material recibido

17 Mantenimiento a ubicaciones de almacén.

18 Separar el material a surtir

19 Seguimiento a vales de Aseguradoras y facturación

20 Apoyo en las diversas actividades que se le asignen (otros departamentos)

Competencias

Creatividad e Iniciativa.

Pasión por el Servicio.

Trabajo en Equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la Presión de Trabajo.

Profesionalismo.

Ofrecemos

Sueldo base.

Prestaciones de Ley. + Vales de Despensa + Fondo de Ahorro

Lugar y Horario De Trabajo

Zona Vallejo

Lun. - Vie. 9:00 a 19:00. Sab. 9:00 a 14:00.",https://www.linkedin.com/jobs/view/4047138347/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/7325688?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Azcapotzalco, Mexico City, Mexico",4,45,1738266056000,['Administrative'],['ADM'],[1292],['Retail Motor Vehicles'],not mentioned,1728805348000,1728805348000,not mentioned
LISTED,4113169756,Lavador Toyota Vallejo,"Grupokasa automotriz busca tu talento como LAVADOR PARA EL ÁREA DE SERVICIO para nuestra agencia TOYOTA VALLEJO 

Actividades

Lavado de autos

Ofrecemos

Sueldo base $8364 más compensación por lavadas

Prestaciones de ley

8% Fondo de ahorro

Reparto de utilidades

Lunes a viernes de 9am a 7pm con hora y media de comida

Sábado de de 9am a 2pm

INDISPENSABLE SABER MANEJAR Y CONTAR CON LICENCIA DE MANEJO VIGENTE",https://www.linkedin.com/jobs/view/4113169756/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/8439617?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Gustavo A. Madero, Mexico City, Mexico",3,16,1738482037000,['Other'],['OTHR'],[1292],['Retail Motor Vehicles'],Mid-Senior level,1735890037000,1735890037000,not mentioned
LISTED,4037717039,Tecnico Mecanico Automotriz   A / Toyota Coacalco,"Tecnico Mecanico Automotriz A / Toyota Coacalco

TÉCNICO A

Misión

Realizar oportunamente los trabajos de reparación o mantenimiento de unidades, de acuerdo a las características definidas en cada uno de los modelos y marcas, para cumplir con los compromisos acordados con el clienteRequerimientos:

Edad: 25 a 40 años.

Sexo: masculino.

Escolaridad Tecnico Mecanico Automotriz Ing. Mecanico Automotriz.

Experiencia mínima 1 año Electrónica. 2 años Mecánica.

Conocimientos

 Diagnósticos. - Presupuestos.- Interpretaciones.- Aplicación de manuales.

Responsabilidades Generales

- Revisar y diagnosticar la falla de la unidad recibida, para determinar el tipo de servicio (mayor o menor) a realizar.2.- Elaborar el presupuesto del costo de la reparación o mantenimiento de la unidad, para informar al cliente y solicitar su autorización.3.- Revisar y determinar en conjunto con el responsable de Garantías si la falla a reparar está cubierta en la garantía de acuerdo a las condiciones del automóvil, para informar al cliente.4.- Notificar al Jefe de Taller de reparación o refacción extra, así como el costo adicional, para solicitar la autorización del cliente.5.- Solicitar las refacciones que requiere la unidad, registrar en la orden de servicio las reparaciones y material utilizado, para el control interno de la agencia.6.- Realizar las pruebas dentro del taller y/o carretera, para verificar el funcionamiento de la unidad7.- Instalar accesorios (antenas, aire acondicionado, seguros), así como cambiar refacciones a unidades asignadas.8.- Notificar al Jefe de Taller que la unidad esta reparada, para su revisión.9.- Mantener la limpieza del equipo, maquinaria y herramienta utilizada diariamente, así como la limpieza y orden del área a su cargo.10.- Utilizar los manuales de electrónicos y apoyos, para el correcto mantenimiento de los vehículos.11.- Reportar cualquier eventualidad que afecte su desempeño, para no afectar la entrega oportuna de la unidad

Competencias

Creatividad e Iniciativa.Pasión por el servicio.Trabajo en equipo.Comunicación.Calidad y Mejora Continua.Tolerancia a la presión de trabajo.Profesionalismo.

Ofrecemos

Sueldo Garantia.

Pago Semanal.

Prestaciones de Ley.

Uniformes.

Fondo de Ahorro.

Lugar y Horario De Trabajo

Zona Coacalco.

Lun. - Vie. 9:00 a 19:00. Sab. 9:00 a 14:00.",https://www.linkedin.com/jobs/view/4037717039/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/7708374?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Coacalco de Berriozábal, México, Mexico",8,51,1737488449000,"['Engineering', 'Information Technology']","['ENG', 'IT']",[1292],['Retail Motor Vehicles'],Mid-Senior level,1727768561000,1727768561000,not mentioned
LISTED,4060652466,Ejecutivo de Ventas Autos Nuevos / Toyota Coacalco Agencia Automotriz,"Ejecutivo de Ventas Autos Nuevos / Toyota Coacalco

Misión

Promover la venta de vehículos y accesorios de acuerdo a políticas y procedimientos establecidos, con la finalidad de cumplir con los objetivos establecidos por la Distribuidora, Planta y Corporativo.

Requerimientos

Edad: 20 a 50 años.

Sexo Indistinto.

Escolaridad: Bachillerato (mínimo).

Experiencia mínima de 1 año en ventas de autos.

Contar Con licencia de conducir Vigente

Conocimientos

Industria Automotriz

Servicio y atención al cliente

Conocimiento de Proceso

Técnicas de Ventas

Esquemas financieros

Repsonsabilidades Generales

- Prospectar futuros clientes, dentro del piso de ventas y en campo (centros comerciales, puntos de venta del Distribuidor, cambaceo, etc.), con el fin de generar una cartera de clientes e iniciar una relación comercial.- Saludar y atender a los prospectos canalizados por la Anfitriona y/o Recepcionista, a fin de conocer y detectar sus necesidades.- Identificar el propósito de la visita del cliente con el fin de ofrecerle la ayuda más apropiada dependiendo de sus necesidades: folletería, asesoría, ver un modelo, negociar precio de un modelo, etc. .- Presentar el vehículo al cliente, enfocando las características y beneficios que cubren directamente las necesidades del cliente a fin de despertar el interés de compra.- Invitar al cliente a realizar una prueba de manejo, cuando el cliente haya seleccionado un modelo específico y sus necesidades de compra se encuentren satisfechas.- Solicitar al cliente el llenado del cuestionario de pruebas de manejo y despejar sus dudas, con el fin de que el cliente obtenga la confianza de que el vehículo demostrado cumple con sus necesidades.- Estructurar una propuesta económica en el cotizador (disponibilidad del vehículo, versión, accesorios, seguro, forma de pago, enganche, etc.) que cubra las necesidades detectadas en el cliente en el proceso de venta.- Presentar al cliente la propuesta económica, asegurándose de que la información sea clara, con el propósito de que el cliente se encuentre de acuerdo con los términos de la propuesta y se cierre la venta.- Elaborar orden de servicio y acondicionamiento para asegurarse de que el vehículo este listo para efectuar la entrega de la unidad al cliente en hora y fecha prometida.- Revisar la unidad vendida antes de ser entregada al cliente, a través de la “lista de verificación para la entrega de autos nuevos”, con el fin de asegurar que se efectúe de acuerdo a los lineamientos establecidos.- Participar en las reuniones de trabajo, en donde se establezcan las estrategias comerciales, objetivos y seguimiento de operación.- Efectuar la entrega del vehículo vendido al cliente, junto con la documentación y explicaciones correspondientes del manual del propietario, garantías, servicios, trámites, operación del vehículo etc. con el fin de cumplir con la entrega del producto de acuerdo al proceso establecido.- Con base a la Agenda de Seguimiento, realizar llamadas telefónicas a los clientes, para conocer sus intenciones de compra

Competencias

Creatividad e Iniciativa.

Pasión por el servicio.

Trabajo en equipo.

Comunicación.

Calidad y Mejora Continua.

Tolerancia a la presión de trabajo.

Profesionalismo .

Indispensable

 Saber manejar ATM y STD. Licencia de manejo vigente.

Ofrecemos

Capacitación e inducción + Viáticos de traslado (Sueldo garantía $7,400.00) + Atractivo esquema de comisiones + IMSS.

Lugar y Horario De Trabajo

Zona Coacalco.

Lunes a Domingo 9:00 am a 7:00 pm (Varia segun guardias). 1 día de descanso entre semana.",https://www.linkedin.com/jobs/view/4060652466/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/7117998?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Coacalco de Berriozábal, México, Mexico",4,33,1738266036000,"['Sales', 'Business Development']","['SALE', 'BD']",[1292],['Retail Motor Vehicles'],Mid-Senior level,1730014906000,1730014906000,not mentioned
LISTED,4120671438,Asesor De Ventas De Autos Nuevos Y Seminuevos,"ASESOR DE VENTAS DE SEMINUEVOSToyota Interlomas.

Nos encontramos en la búsqueda de nuevo talento:Requisitos:Experiencia: 1 año en ventas automotrices, advisor, sales, cambaceo.Escolaridad: Preparatoria, Bachillerato o Técnico.Paquetería en Office.Conocimientos:Redes SocialesNegociaciónCierre de ventasOfrecemos:Sueldo Garantía $ 8,000 mensual (los 3 primeros meses).Sueldo COMISIONISTAHorario de Lunes a Domingo con base a guardias.Actividades:Prospección de clientesAtención de clientes en piso y redes socialesProspección de toma de seminuevosSeguimientoRecepción de documentos para la compra de unidades.Cierre de ventasTipo de puesto:Tiempo completo, Por tiempo indeterminadoHorario:Turno de 10 horasPrestaciones:Descuentos y precios preferencialesSeguro de vidaEducación:Bachillerato terminado (Deseable)Salario:$4,321.75 - $18,519.71 al mesLugar de trabajo:Empleo presencial, Boulevard Interlomas 17, Col. Centro Urbano San Fernando, La Herradura, C.P.52760, Huixquilucan, Méx.Si te interesa envía tu CV al correo ****** con el asunto: ASESOR DE VENTAS DE SEMINUEVOS.#J-18808-Ljbffr",https://www.linkedin.com/jobs/view/4120671438/,"{'companyApplyUrl': 'https://www.buscojobs.mx/asesor-de-ventas-de-autos-nuevos-y-seminuevos-ID-82384198?source=linkedin', 'easyApplyUrl': ''}","{'name': 'Agencia Automotriz Toyota', 'staffCountRange': {}, 'headquarter': {}}","México, Mexico",2,10,1738982710000,['Sales'],['SALE'],[125],['Alternative Medicine'],Mid-Senior level,1736390711000,1736390711000,not mentioned
LISTED,4113170633,Chofer de servicio Toyota Vallejo,"Grupokasa automotriz busca tu talento como CHOFER DE SERVICIO para nuestra agencia TOYOTA VALLEJO

Actividades

Dar movilidad a las unidades dentro de la agencia con el mayor cuidado y sin excederse en velocidad para evitar cuellos de botella.Vigilar que las unidades no estén con algún consumidor eléctrico activado (radio, luces, etc.).Apoyar en el proceso de entrega y recolección de autos de clientes a domicilio.Entregar y recibir refacciones en agencias del Grupo.Entregar y recoger documentación de proveedores, distribuidores y de planta.

Ofrecemos

Sueldo base $8364 mas horas extras

Prestaciones de ley

8% Fondo de ahorro

Reparto de utilidades

Lunes a viernes tiempo completo

Sábado de de 9am a 2pm

INDISPENSABLE SABER MANEJAR Y CONTAR CON LICENCIA DE MANEJO VIGENTE, POSTULATE POR ESTE MEDIO",https://www.linkedin.com/jobs/view/4113170633/,"{'companyApplyUrl': 'https://grupokasaautomotriz.pandape.computrabajo.com/Detail/8439509?ov=19&utm_source=linkedinjobboard&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats', 'easyApplyUrl': ''}","{'id': 9590931, 'name': 'Grupo Kasa Automotriz', 'universalName': 'grupo-kasa-automotriz', 'description': 'Grupo Kasa Automotriz es líder entre de las concesionarias automotrices en México. Nuestra amplía experiencia, visión y enfoque nos ha convertido en referente dentro del mercado. A lo largo de más de cuarenta años, hemos mantenido un crecimiento continuo que nos ha permitido ser más rentables y competitivos. Contamos con 30 Agencias en el centro del país generando empleos para más de 2000 personas que comparten la visión de calidad y servicio que Grupo Kasa se ha caracterizado por brindar durante todo este tiempo.', 'logo': 'https://media.licdn.com/dms/image/v2/C4D0BAQHNvXPqwV1f7w/company-logo_200_200/company-logo_200_200/0/1631341474237?e=1744848000&v=beta&t=piwXTvKB10-OkWuyqm-TVj2YMotr2isGikGGLlkGjOg', 'url': 'https://www.linkedin.com/company/grupo-kasa-automotriz', 'followerCount': 5391, 'staffCount': 286, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'México', 'country': 'MX', 'city': 'Tlanepantla de Baz'}}","Ecatepec de Morelos, México, Mexico",12,33,1738482044000,"['Management', 'Manufacturing']","['MGMT', 'MNFC']",[1292],['Retail Motor Vehicles'],Mid-Senior level,1735890045000,1735890045000,not mentioned
