state,id,title,description,url,applyMethod,company,location,type,applies,views,expireAt,formattedJobFunctions,jobFunctions,industries,formattedIndustries,formattedExperienceLevel,listedAt,originalListedAt,skills
LISTED,4029999092,Regional Buyer/Comprador Regional,"Somos un GPTW(R) y una ESR(R)!Volkswagen Financial Services en México es una subsidiaria propiedad de Volkswagen Financial Services AG que incluye a las entidades Volkswagen Leasing, S.A. de C.V., Volkswagen Bank, Institución de Banca Múltiple S.A. y Volkswagen Servicios, S.A. de C.V.
We are a GPTW(R) and ESR(R)!Volkswagen Financial Services in Mexico is a wholly owned subsidiary of Volkswagen Financial Services AG which includes the entities Volkswagen Leasing, SA de CV, Volkswagen Bank, Institución de Banca Múltiple SA and Volkswagen Servicios, SA de CV.
Misión del puesto:Asegurar el abastecimiento de los servicios y productos requeridos para la operación de las áreas de negocio de las empresas financieras del Grupo Volkswagen en la Región Norteamérica (NAR), negociando las mejores condiciones comerciales en conformidad con los lineamientos y políticas de la empresa.
Responsabilidades:Desarrollar e implementar la estrategia regional de abastecimiento de las categorías de compra (servicios generales, consultoría, administración de edificios, equipo de oficina etc) a su cargo para las empresas financieras.Conocer y entender el marco legal, regulatorio, fiscal y comercial de los mercados de Canadá, Estados Unidos y México y apoyar en la gestión Legal, Riesgos y Fiscal de los tres mercados de la NAR en el desarrollo de las especificaciones y requerimientos de servicios.Desarrollar, gestionar y actualizar el padrón de proveedores de la Región Norteamérica (NAR), así como consolidar nuevos proveedores y locales.Gestionar los procesos de licitación y adquisición (RFPs/RFQs) de las empresas financieras de la NAR en conformidad con los lineamientos locales e internacionales que se encuentren alineados a los estándares y políticas de la empresa.Coordinar con las áreas de negocio de las empresas financieras de la NAR el proceso de revisión de las propuestas técnicas entregadas por los proveedores y asegurar la adquisición de servicios y productos con la calidad y alcance solicitados.Analizar las propuestas comerciales y llevar a cabo las negociaciones con proveedores de las empresas financieras de la NAR; conforme al análisis de la situación del mercado de Canadá, Estados Unidos y México para contribuir al logro de las metas de rentabilidad de la NAR.Decidir sobre el proveedor a adjudicar de entre los proveedores evaluados con OK técnico por las áreas de negocio en los procesos de licitación y/o adquisición entre 10,000 y 100,000 Euros de las financieras de la NAR, en conformidad con los lineamientos locales e internacionales de compras de la empresa.
Requisitos:Licenciatura en negocios o equivalente / Ingeniería IndustrialDeseable Maestría-MBA o Certificación como profesional de compras o abastecimientoInglés Avanzado indispensableExperiencia en adquisiciones con un enfoque regional, consolidando requerimientos de varias plantas o empresas de distintos países.Each and every one of the data you provide to this company within our recruitment and selection process will be protected, treated and used in accordance with the principles set forth in the Federal Law of Personal Data Protection Law in force.
The processes of recruitment, evaluation, interview, selection and hiring of personnel are totally FREE in this company; no one should request any payment to participate in our Recruitment and Selection processes.
Volkswagen Financial Services is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law.",https://www.linkedin.com/jobs/view/4029999092/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4029999092'}","{'id': 490081, 'name': 'Volkswagen Financial Services - México', 'universalName': 'vwfs-mx', 'description': '¡Volkswagen Financial Services en México es una subsidiaria propiedad de Volkswagen Financial Services AG. Provee productos de financiamiento, arrendamiento, seguros y otras soluciones de movilidad para concesionarios y clientes finales de las marcas Volkswagen, SEAT, Cupra, Audi, Ducati, Porsche y Volkswagen Vehículos Comerciales.\nTenemos medio siglo en México ofreciendo soluciones de movilidad a más de 2.8 millones de clientes en los últimos 50 años. Donde, dos de cada tres autos vendidos de las marcas del Grupo VW utilizan los servicios de VWFS.\n\nPara nosotros crear un espacio de trabajo con un enfoque en el talento humano y que favorezca las condiciones de sus colaboradores en todos los ámbitos de su vida, es un elemento fundamental en la cultura de Volkswagen Financial Services (VWFS), y esto es lo que le permitió ser nuevamente reconocida por la organización Great Place to Work (GPTW) en la categoría de 50 a 500 Multinacionales ubicándose dentro de las primeras 50 posiciones. Siendo reconocidos en el Hall of Fame de Great Place to Work® (GPTW), por 9 años consecutivos con este distintivo.\n\nSomos parte de las organizaciones reconocidas por el Distintivo Empresa Socialmente Responsable (ESR) por sexto año consecutivo en el caso de Volkswagen Bank y por el séptimo para Volkswagen Leasing. Esto gracias a un esfuerzo continuo por mejorar la calidad de vida de los colaboradores, promover la ética empresarial, vincularse con la comunidad, preservar el medio ambiente y trabajar en un entorno de equidad e inclusión. Para VWFS la sostenibilidad no es una tendencia de corto plazo, sino un elemento central de los valores corporativos del grupo.\n\nHoy la empresa se está convirtiendo en un aliado estratégico clave para el futuro de Grupo, al transformarse en un proveedor de soluciones de movilidad innovadoras para un mercado en constante evolución. ¡Juntos somos la llave de la movilidad en México!', 'logo': 'https://media.licdn.com/dms/image/v2/C560BAQFo9lb6-d6hyg/company-logo_200_200/company-logo_200_200/0/1630642614498/vwfs_mx_logo?e=1736380800&v=beta&t=1LWlwl1qz7t52ZY2SH-9O_eUlbragNsyOgZkk3jwkI0', 'url': 'https://www.linkedin.com/company/vwfs-mx', 'followerCount': 17234, 'staffCount': 312, 'staffCountRange': {'start': 201, 'end': 500}, 'specialities': ['Vehicle Financing and Leasing', 'Mobility Services', 'Direct Banking', 'banking', 'leasing', 'insurance', 'finance', 'mobility'], 'industries': ['Financial Services'], 'headquarter': {'geographicArea': 'Puebla', 'country': 'MX', 'city': 'Puebla', 'postalCode': '72700', 'line2': 'San Lorenzo Almecatla, Cuautlancingo', 'line1': 'Autopista México-Puebla Km 116 más 900'}}","Puebla, Mexico",Full-time,414,1410,1729350018000,"['Accounting/Auditing', 'Administrative', 'Purchasing']","['ACCT', 'ADM', 'PRCH']","[43, 11]","['Financial Services', 'Business Consulting and Services']",Mid-Senior level,1726758018000,1726758018000,"['Commercial Law', 'Data Protection Law', 'Financial Management', 'Financial Services', 'Negotiation', 'Request for Proposal (RFP)', 'Request for Quotation (RFQ)', 'Trend Analysis']"
LISTED,3841794333,Area Sales Engineer (m/f/d) for Sensor Technologies - México,"Your tasks

Sales of innovative smart sensor technologies to commercial customersTargeted acquisition of new customers to sustainably increase wenglor market shareResponsibility for the complete sales process from inquiry to contract conclusionRevenue and target responsibility for your areaWork from home office and be regularly with our customers directly at local level

Your profile

A completed technical qualification and a strong interest in business and commercial relationsSales experience in the industrial automation industry is an advantagePassion for the distribution of consulting-intensive, technical productsA convincing, positive and sociable personalityA self-motivated way of working and entrepreneurial action

We offer you

An excellent working atmosphere and the opportunity to develop your own ideasA team-oriented management and rapid decision-making processesA secure position, a vehicle with private use and an exciting task in a growing marketA performance-based salary and career opportunities",https://www.linkedin.com/jobs/view/3841794333/,"{'companyApplyUrl': 'https://jobdb.softgarden.de/jobdb/public/jobposting/applyonline/click?jp=37868439', 'easyApplyUrl': ''}","{'name': 'Volkswagen MX', 'staffCountRange': {}, 'headquarter': {}}","Monterrey, Nuevo León, Mexico",Full-time,29,147,1730639906000,"['Sales', 'Business Development']","['SALE', 'BD']",not mentioned,not mentioned,Entry level,1709294633000,1709294633000,"['Account Management', 'Automation', 'Business Development', 'Cascading Style Sheets (CSS)', 'New Business Development', 'Sales Engineering', 'Sales Management', 'Sales Operations', 'Sales Processes', 'Sociability']"
LISTED,3987075981,Area Sales Engineer (m/f/d) for Camera Technologies - México,"Your tasks

Sales of innovative camera technologies (vision, 2D/3D) to the industrial automation industrySolutions related technical advice to multiple contact levels at target customersTargeted acquisition of new customers to increase sustainably wenglor market shareResponsibility for the complete sales process from inquiry to contract conclusionRevenue and target responsibility for your areaWork from home office and be regularly with our customers directly at local level

Your profile

A completed technical qualification and a strong interest in business and commercial relationsTwo to five years’ experience in the sales of vision camera, vision system, smart camera and or three-dimensional profiling technologiesPassion for the distribution of consulting-intensive, technical productsA convincing, positive and sociable personalityA self-motivated way of working and entrepreneurial action

We offer you

An excellent working atmosphere and the opportunity to develop your own ideasA team-oriented management and rapid decision-making processesA secure position, a vehicle with private use and an exciting task in a growing marketA performance-based salary and career opportunities",https://www.linkedin.com/jobs/view/3987075981/,"{'companyApplyUrl': 'https://jobdb.softgarden.de/jobdb/public/jobposting/applyonline/click?jp=47747460', 'easyApplyUrl': ''}","{'name': 'Volkswagen MX', 'staffCountRange': {}, 'headquarter': {}}","Monterrey, Nuevo León, Mexico",Full-time,7,62,1729542588000,"['Sales', 'Business Development']","['SALE', 'BD']",not mentioned,not mentioned,Entry level,1722265275000,1722265275000,"['Account Management', 'Automation', 'Cameras', 'New Business Development', 'Profiler', 'Sales', 'Sales Engineering', 'Sales Processes', 'Sociability', 'Technical Advisory']"
LISTED,4019849191,RECEPCIONISTA-VOLKSWAGEN GONZALITOS,"Esta vacante viene de la bolsa de empleo Talenteca.com

Vacante para la empresa Car One Group en Monterrey -Monterrey, Nuevo León

Car one se encuentra en busqueda de Recepcionista

Lugar de trabajo: Volkswagen Gonzalitos

Requisitos

Bachillerato trunco o terminado.Experiencia y gusto por la atención al cliente.Manejo de Office.Excelente presentación

Funciones

Recibir al cliente y guiarlo con la persona correspondiente.Atención Telefónica.Apoyo en actividades administrativas que se requiera.

Ofrecemos

Sueldo fijoPrestaciones de ley.Seguro de vida.Consultorio médico gratuito para empleados y familia.Oportunidad de crecimiento.Beneficios de la empresa.

Interesados postularse por este medio o acudir a entrevista.

Pirineos#612 Col. Jardin Obispado como referencia a espaldas de Kia Gonzalitos.

Nivel De Educación Deseada

Media Superior

Nivel De Experiencia Deseada

Nivel Medio

Función Departamental

Comercial / Ventas

Industria

Automotriz

Esta Vacante Viene De La Bolsa De Empleo Talenteca.com

https://www.talenteca.com/anuncio?j_id=66db90f12a000050002df211&source=linkedin",https://www.linkedin.com/jobs/view/4019849191/,"{'companyApplyUrl': 'https://www.talenteca.com/postular?j_id=66db90f12a000050002df211&source=linkedin-feed&utm_source=linkedin_mx&utm_medium=referral&utm_campaign=linkedin_mx-not-promoted', 'easyApplyUrl': ''}","{'id': 18508628, 'name': 'Car One Group', 'universalName': 'caronegroup', 'description': 'Car One Group es una empresa especialista en Compra y Venta de autos Nuevos y Seminuevos, siempre con la mejor oferta del mercado. Tel. 2222.5500', 'logo': 'https://media.licdn.com/dms/image/v2/C4E0BAQFjB77eXptsJg/company-logo_200_200/company-logo_200_200/0/1631303169378?e=1736380800&v=beta&t=Ma9MLJxB6gBooS55-NgG3mJBhoHeHzJPI_AXET7cY54', 'url': 'https://www.linkedin.com/company/caronegroup', 'followerCount': 2833, 'staffCount': 456, 'staffCountRange': {'start': 1001, 'end': 5000}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Seleccione...', 'country': 'MX', 'city': 'Monterrey ', 'postalCode': '64640', 'line1': 'Av. San Jerónimo 101 SAN JERONIMO'}}","Monterrey, Nuevo León, Mexico",Full-time,40,221,1730615207000,['Sales'],['SALE'],[53],['Motor Vehicle Manufacturing'],Associate,1725643927000,1725643927000,"['Administration', 'Communication', 'Customer Support', 'Front Office Operations', 'Office Equipment', 'Organization Skills', 'Phone Etiquette', 'Presentations', 'Receptionist Duties', 'Switchboard']"
LISTED,4044124889,Chief Enginner (Senior Tool & Stamping Die Engineer),"Descripción y detalle de las actividadesThis position supports the tooling department in the use, improvement, preventative maintenance, and development of stamping dies and processes for progressive and transfer dies in mechanical press in a varying range of Materials and thickness and requires a deep technical level that can solve problems and even propose design improvements.Represents Fabrication, Tool and Die departments to assist in improving the plant's performance goals.Manages, develops, and executes projects including new, replacement, operations improvements, and repairs.Utilizes best practices, industrial standards, and common systems to support the overall competitive manufacturing.Ensures long term, cost effective maintenance of equipment and facility.Travels to review the manufacture and tests of the dies.Interested parties send resume to ****** or contact ANA global RH department at +52 (664) 623 4034 Ext. 1050; please use subject: Senior Tool & Die Process Engineer position.Experiencia y requisitosToolmaker experience for 10+ years.Multiple instances of Purchasing of Stamping Tooling.Experience with Continuous Improvement of Fabrication Department and Tool & Die metrics.Root cause / problem solving ability.High level of interpersonal skills to work effectively with others.High level of oral and written communication skills (English and Spanish).Computer literacy and good knowledge of Microsoft Office software.Experience working in high speed / high volume operations.15 + years of experience reading die design prints and drawings.10 + years' experience working with CAD.Número de vacantes: 1Área: TécnicosContrato: PermanenteModalidad: PresencialTurno: DiurnoJornada: Tiempo CompletoEstudios: Carrera con título profesionalInglés: Hablado: 50%, Escrito: 50%Disponibilidad para viajar: Sí#J-18808-Ljbffr",https://www.linkedin.com/jobs/view/4044124889/,"{'companyApplyUrl': 'https://www.buscojobs.mx/chief-enginner-senior-tool-stamping-die-engineer-ID-72836880?source=linkedin', 'easyApplyUrl': ''}","{'id': 335828, 'name': 'Volkswagen MX', 'universalName': 'volkswagenmx', 'description': '¡Bienvenidos al nuevo Volkswagen! 💙🇲🇽\nTomamos una nueva actitud frente a la transformación del mundo y así marcamos el inicio de una nueva era.\nAquí te contaremos sobre los pilares que nos inspiran día a día y compartiremos nuestros logros contigo.\nVisita: https://bit.ly/li_VWMexico\n\nwww.twitter.com/Volkswagen_MX\nhttp://www.facebook.com/VolkswagenMX', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFDiCat0cVIRQ/company-logo_200_200/company-logo_200_200/0/1726616618016/volkswagenmx_logo?e=1736380800&v=beta&t=P7b9lJ8pQ2GhFUtTJnhf4ze6uzecfk4cDMKRCjizNlU', 'url': 'https://www.linkedin.com/company/volkswagenmx', 'followerCount': 502352, 'staffCount': 6915, 'staffCountRange': {'start': 10001}, 'specialities': ['automotriz'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Puebla', 'country': 'MX', 'city': 'Cuautlancingo', 'postalCode': '72700', 'line2': 'San Lorenzo Almecatla', 'line1': 'Autop. México-Puebla Km.116'}}","Tijuana, Baja California, Mexico",Full-time,15,65,1730774850000,['Engineering'],['ENG'],[30],['Travel Arrangements'],Mid-Senior level,1728182851000,1728182851000,"['Communication', 'English', 'Equipment Maintenance', 'Interpersonal Skills', 'Preventive Maintenance', 'Problem Solving', 'Programming', 'Software Development', 'Tool & Die', 'Written Communication']"
LISTED,4016406786,Asesor de ventas,"¡Estamos contratando!

ASESOR DE VENTAS

Requisitos

Gusto por las ventas

Responsable y proactivo

Experiencia (deseable en ventas, no necesaria en el giro)

Ambición de generar buenos ingresos y crecimiento profesional

Nivel de educación deseada (media superior)

Oferta

Sueldo base de $10,000 netos mensuales, más comisiones y bonos, con ingresos mínimos de $15,000 mensuales.

Prestaciones de ley

Tipo de puesto: Por tiempo indeterminado

Sueldo: $10,000.00 - $40,000.00 al mes

Beneficios

Aumentos salariales

Días de maternidad superiores a los de la ley

Días de paternidad superiores a los de la ley

Días por enfermedad

Horarios flexibles

Vacaciones adicionales o permisos con goce de sueldo

Pago Complementario

Bono de productividad

Bono mensual

Tipo De Jornada

Lunes a viernes",https://www.linkedin.com/jobs/view/4016406786/,"{'companyApplyUrl': 'https://mx.trabajosdiarios.com/trabajo/2704916/asesor-de-ventas-en-michoacan', 'easyApplyUrl': ''}","{'name': 'Volkswagen MX', 'staffCountRange': {}, 'headquarter': {}}","Morelia, Michoacán, Mexico",Full-time,19,50,1730485799000,"['Sales', 'Business Development']","['SALE', 'BD']",[133],['Wholesale'],Mid-Senior level,1725408000000,1725408000000,"['Client Relations', 'Customer Follow-Up', 'Customer Relationship Management (CRM)', 'Drive for Success', 'Problem Solving', 'Retail', 'Sales', 'Sales Management', 'Team Leadership', 'Team Management']"
LISTED,4043074043,Auxiliar Administrativo,"atención a clientes, actividades administrativas, facturación, seguimiento de pedidos, coordinación de entregas a clientes, coordinación de rutas, administración de choferes y de parque vehicular, entregas de pedidos al área de producción y seguimiento al mismo con el área señalada",https://www.linkedin.com/jobs/view/4043074043/,"{'companyApplyUrl': 'https://mx.trabajosdiarios.com/trabajo/2726034/auxiliar-administrativo-en-coahuila', 'easyApplyUrl': ''}","{'id': 335828, 'name': 'Volkswagen MX', 'universalName': 'volkswagenmx', 'description': '¡Bienvenidos al nuevo Volkswagen! 💙🇲🇽\nTomamos una nueva actitud frente a la transformación del mundo y así marcamos el inicio de una nueva era.\nAquí te contaremos sobre los pilares que nos inspiran día a día y compartiremos nuestros logros contigo.\nVisita: https://bit.ly/li_VWMexico\n\nwww.twitter.com/Volkswagen_MX\nhttp://www.facebook.com/VolkswagenMX', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFDiCat0cVIRQ/company-logo_200_200/company-logo_200_200/0/1726616618016/volkswagenmx_logo?e=1736380800&v=beta&t=P7b9lJ8pQ2GhFUtTJnhf4ze6uzecfk4cDMKRCjizNlU', 'url': 'https://www.linkedin.com/company/volkswagenmx', 'followerCount': 502352, 'staffCount': 6915, 'staffCountRange': {'start': 10001}, 'specialities': ['automotriz'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Puebla', 'country': 'MX', 'city': 'Cuautlancingo', 'postalCode': '72700', 'line2': 'San Lorenzo Almecatla', 'line1': 'Autop. México-Puebla Km.116'}}","Saltillo, Coahuila, Mexico",Full-time,33,109,1730917620000,['Administrative'],['ADM'],[54],['Chemical Manufacturing'],Entry level,1728259200000,1728259200000,"['Communication', 'Coordinating Skills', 'General Administration', 'Human Resources (HR)', 'Marketing', 'Order Tracking', 'Organization Skills', 'Phone Etiquette', 'Problem Solving', 'Receptionist Duties']"
LISTED,4002843671,Secretaria ejecutiva,"ACTIVIDADES DIARIAS

Organizar y mantener el calendario del ejecutivo, programando reuniones, citas y eventos.

Coordinar horarios y asegurar la disponibilidad del ejecutivo para compromisos importantes.

Atender llamadas telefónicas y correos electrónicos dirigidos al ejecutivo, filtrando y priorizando la correspondencia.

Redactar, revisar y enviar correos electrónicos y cartas oficiales.

Recibir y asistir a visitantes y clientes que lleguen a la oficina, proporcionándoles información o dirigiéndolos al personal adecuado.

Manejar consultas y solicitudes de manera profesional.

REQUERIMIENTOS

Capacidad para manejar información confidencial con discreción y profesionalismo.

Habilidad para organizar múltiples tareas y prioridades de manera efectiva, gestionando el tiempo de manera óptima.

Habilidad para identificar problemas y encontrar soluciones efectivas y rápidas.

Capacidad para interactuar de manera profesional y efectiva con clientes, colegas y otros visitantes.",https://www.linkedin.com/jobs/view/4002843671/,"{'companyApplyUrl': 'https://mx.trabajosdiarios.com/trabajo/2693013/secretaria-ejecutiva-en-estado-de-mexico', 'easyApplyUrl': ''}","{'name': 'Volkswagen MX', 'staffCountRange': {}, 'headquarter': {}}","Toluca de Lerdo, México, Mexico",Full-time,66,209,1729189598000,['Administrative'],['ADM'],[27],['Retail'],Entry level,1723939200000,1723939200000,"['Commitments', 'Communication', 'Company Secretarial Work', 'Confidentiality', 'Discretion', 'Interpersonal Skills', 'Sensitive Information', 'Team Management', 'Travel Arrangements', 'Typing']"
LISTED,4032980534,Asesor comercial,"Asesor ComercialExperiencia en ventas preferenteSistema CRM Orientación y servicio al cliente
OfrecemosExcelente esquema de comisionesCapacitaciones y certificación
Colabora en una de las mejores marcas automotrices!",https://www.linkedin.com/jobs/view/4032980534/,"{'companyApplyUrl': '', 'easyApplyUrl': 'https://www.linkedin.com/job-apply/4032980534'}","{'id': 90316192, 'name': 'Volkswagen VAQCSA Guanajuato', 'universalName': 'volkswagen-vaqcsa-guanajuato', 'description': 'Volkswagen VAQCSA Guanajuato es una concesionaria de autos ubicada en Guanajuato, Gto.\nContamos con Vehiculos de transporte, comerciales y seminuevos. ', 'logo': 'https://media.licdn.com/dms/image/v2/D4E0BAQH6k7ubZrS1pQ/company-logo_200_200/company-logo_200_200/0/1686782831942/volkswagen_vaqcsa_guanajuato_logo?e=1736380800&v=beta&t=lS21uCtHAmsHTwXrvGyp0g1_q0Ch3_fklIbQC36Kr08', 'url': 'https://www.linkedin.com/company/volkswagen-vaqcsa-guanajuato', 'followerCount': 109, 'staffCount': 13, 'staffCountRange': {'start': 51, 'end': 200}, 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Gto', 'country': 'MX', 'city': 'Marfil', 'line1': 'Carr. Libre Guanajuato - Silao KM. 5.5, Marfil'}}","Guanajuato, Guanajuato, Mexico",Full-time,3,37,1729795445000,not mentioned,['OTHR'],[1292],not mentioned,not mentioned,1727203445000,1727203445000,"['Coaching', 'English', 'Foreign Affairs', 'Foreign Policy', 'International Economics', 'Marketing', 'New Business Development', 'Public Diplomacy', 'Team Leadership', 'Teamwork']"
LISTED,4045217403,ALMACENISTA,"Experiencia: 3 años mínimo comprobables

 Manejo de inventarios, entradas y salidas de materiales

Escolaridad: Preparatoria o carrera trunca en logística

Sexo: Masculino

Edad: 28 a 45 años

Licencia de manejo

Lugar de trabajo en Azcapotzalco",https://www.linkedin.com/jobs/view/4045217403/,"{'companyApplyUrl': 'https://www.unmejorempleo.com.mx/empleo-en_ciudad_de_mexico_almacenista-5660564.html', 'easyApplyUrl': ''}","{'id': 335828, 'name': 'Volkswagen MX', 'universalName': 'volkswagenmx', 'description': '¡Bienvenidos al nuevo Volkswagen! 💙🇲🇽\nTomamos una nueva actitud frente a la transformación del mundo y así marcamos el inicio de una nueva era.\nAquí te contaremos sobre los pilares que nos inspiran día a día y compartiremos nuestros logros contigo.\nVisita: https://bit.ly/li_VWMexico\n\nwww.twitter.com/Volkswagen_MX\nhttp://www.facebook.com/VolkswagenMX', 'logo': 'https://media.licdn.com/dms/image/v2/D560BAQFDiCat0cVIRQ/company-logo_200_200/company-logo_200_200/0/1726616618016/volkswagenmx_logo?e=1736380800&v=beta&t=P7b9lJ8pQ2GhFUtTJnhf4ze6uzecfk4cDMKRCjizNlU', 'url': 'https://www.linkedin.com/company/volkswagenmx', 'followerCount': 502352, 'staffCount': 6915, 'staffCountRange': {'start': 10001}, 'specialities': ['automotriz'], 'industries': ['Motor Vehicle Manufacturing'], 'headquarter': {'geographicArea': 'Puebla', 'country': 'MX', 'city': 'Cuautlancingo', 'postalCode': '72700', 'line2': 'San Lorenzo Almecatla', 'line1': 'Autop. México-Puebla Km.116'}}","Azcapotzalco, Mexico City, Mexico",Full-time,3,24,1730934817000,"['Management', 'Manufacturing']","['MGMT', 'MNFC']",[91],['Consumer Services'],Entry level,1728342820000,1728342820000,"['Communication', 'Computer Literacy', 'Forklift Operation', 'Inventory Control', 'Material Handling', 'Outings', 'Packing', 'Pallet Jack', 'Shipping & Receiving', 'Unloading']"
