id,title,url,reference_id,location,company name,type,postDate
4022473324,Regional Marketing Specialist,https://www.linkedin.com/jobs/view/4022473324,RNIiT9yYgSts213OFRqeKQ==,Mexico City Metropolitan Area (On-site),Kia México,Full-time,6 days ago
3856443277,Representante Bilingue,https://www.linkedin.com/jobs/view/3856443277,RNIiT9yYgSts213OFRqeKQ==,"Aguascalientes, Aguascalientes, Mexico (On-site)",Primeaux KIA,Part-time,6 months ago
4004827317,Training Specialist,https://www.linkedin.com/jobs/view/4004827317,RNIiT9yYgSts213OFRqeKQ==,"Pesquería, Nuevo León, Mexico (On-site)",Kia México,Full-time,4 weeks ago
4012855142,Human Resources Business Partner,https://www.linkedin.com/jobs/view/4012855142,RNIiT9yYgSts213OFRqeKQ==,"Pesquería, Nuevo León, Mexico (On-site)",Kia México,Full-time,2 weeks ago
3856438869,Recepcionista,https://www.linkedin.com/jobs/view/3856438869,RNIiT9yYgSts213OFRqeKQ==,"Álvaro Obregón, Mexico City, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
4022489548,Digital Marketing,https://www.linkedin.com/jobs/view/4022489548,RNIiT9yYgSts213OFRqeKQ==,Mexico City Metropolitan Area (On-site),Kia México,Full-time,6 days ago
4010678894,Controlling and budget Specialist,https://www.linkedin.com/jobs/view/4010678894,RNIiT9yYgSts213OFRqeKQ==,Mexico City Metropolitan Area (Hybrid),Kia México,Full-time,2 weeks ago
3856437787,Cajero/a,https://www.linkedin.com/jobs/view/3856437787,RNIiT9yYgSts213OFRqeKQ==,"Morelia, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
4013580419,Business Analyst Assistant Manager,https://www.linkedin.com/jobs/view/4013580419,RNIiT9yYgSts213OFRqeKQ==,"Pesquería, Nuevo León, Mexico (On-site)",Kia México,Full-time,2 weeks ago
3856441366,Cajero/a,https://www.linkedin.com/jobs/view/3856441366,RNIiT9yYgSts213OFRqeKQ==,"Morelia, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
3856438764,Ejecutivo de Cobranza  Zitácuaro,https://www.linkedin.com/jobs/view/3856438764,RNIiT9yYgSts213OFRqeKQ==,"Heroica Zitácuaro, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
3856440258,Ejecutivo de  Venta,https://www.linkedin.com/jobs/view/3856440258,RNIiT9yYgSts213OFRqeKQ==,"Álvaro Obregón, Mexico City, Mexico (Hybrid)",Primeaux KIA,Full-time,6 months ago
3856438530,Cajera vendedora Atizapan Villas de la hda,https://www.linkedin.com/jobs/view/3856438530,RNIiT9yYgSts213OFRqeKQ==,"Atizapán de Zaragoza, México, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
4019288555,Técnico Mecánico B Kia Ecatepec,https://www.linkedin.com/jobs/view/4019288555,RNIiT9yYgSts213OFRqeKQ==,"Ecatepec de Morelos, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,1 week ago
3866653123,Analista de Crédito,https://www.linkedin.com/jobs/view/3866653123,RNIiT9yYgSts213OFRqeKQ==,"Ecatepec de Morelos, México, Mexico (On-site)",Primeaux KIA,Full-time,5 months ago
3872680659,Cajero Administrativo Zona Zapopan,https://www.linkedin.com/jobs/view/3872680659,RNIiT9yYgSts213OFRqeKQ==,"Zapopan, Jalisco, Mexico (On-site)",Primeaux KIA,Full-time,5 months ago
3856444233,Ejecutivo de credito Personal Atizapan,https://www.linkedin.com/jobs/view/3856444233,RNIiT9yYgSts213OFRqeKQ==,"Tlalnepantla de Baz, México, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
3999018475,Ejecutivo de Ventas (cambaceo),https://www.linkedin.com/jobs/view/3999018475,RNIiT9yYgSts213OFRqeKQ==,"San Luis Río Colorado, Sonora, Mexico (On-site)",Primeaux KIA,Full-time,1 month ago
4019286736,Ejecutivo de Ventas Kia Ecatepec,https://www.linkedin.com/jobs/view/4019286736,RNIiT9yYgSts213OFRqeKQ==,"Ecatepec de Morelos, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,1 week ago
3856442304,Asesor de ventas (productos financieros),https://www.linkedin.com/jobs/view/3856442304,RNIiT9yYgSts213OFRqeKQ==,"Apatzingán, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
4020877944,Encargado de Preentregas Kia Coacalco,https://www.linkedin.com/jobs/view/4020877944,RNIiT9yYgSts213OFRqeKQ==,"Coacalco de Berriozábal, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,6 days ago
4026649306,Encargado de Preparadores  Kia Coacalco,https://www.linkedin.com/jobs/view/4026649306,RNIiT9yYgSts213OFRqeKQ==,"Coacalco de Berriozábal, México, Mexico (On-site)",Grupo Kasa Automotriz,Full-time,3 days ago
3856438751,Asesor de ventas  (productos financieros),https://www.linkedin.com/jobs/view/3856438751,RNIiT9yYgSts213OFRqeKQ==,"Zacapu, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
3856440338,Asesor de ventas (productos financieros),https://www.linkedin.com/jobs/view/3856440338,RNIiT9yYgSts213OFRqeKQ==,"Zacapu, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
3856438671,Gestor de cobranza  (giro financiero),https://www.linkedin.com/jobs/view/3856438671,RNIiT9yYgSts213OFRqeKQ==,"Uruapan, Michoacán, Mexico (On-site)",Primeaux KIA,Full-time,6 months ago
